chimera	狮头
benzidine	对二氨基联苯
potentiostat	稳压器
preadapted	预适应的
specifiable	可列举的
motivity	原动力
scrupulously	小心翼翼地
trass	火山土
goddaughter	教女
psychokinesis	意志力
pack	被包装
vb	语言
prizeman	得奖人
regenerate	新生的
sawtimber	锯材
unbroken	未破损的
panorama	全景摄影
alvin	阿尔文
nutritional	滋养
koniology	空气中的灰尘
dyspepsy	胃弱
eggar	=egger
megatron	塔形电子管
manuduction	引导
tolane	二苯乙炔
luciferous	光亮
infiltree	渗透者
haemoid	血样的
amusia	失歌症
cutis	表皮
etymologic	语源学
uncertainty	不可靠
genet	香猫
genially	快活
detrusive	推落的
disgustful	厌腻的
precocity	早成
silt	淤泥
breccia	角蛮岩
praetor	执政官
underpin	巩固
mythicize	解释为神话
cohort	一群
irresponsive	无感应
morphological	语形学
waveless	平静的
hateful	可恨的
perimeter	周界
alight	点着的
toom	空
mailclad	穿盔甲的人
hydrocinnamic	氢化肉桂醛
sciograph	=skiagraph
bummer	无赖
cisc	复杂指令集计算
carbocyclic	碳环形的
staid	沉静的
resinous	树脂质
recense	修正
ricketic	佝偻病的
desiccant	使干燥
flinty	严峻的
christless	不信奉基督
vengeful	复仇心重
cookhouse	船上厨房
cinematize	摄成电影
plumose	有羽毛的
lustful	渴望
forthcome	出现
piccolo	短笛
uncharted	不详的
reform	改过
durra	蜀黍
thalassic	内海
notion	想法
residential	与居住有关的
handle	把柄
synonymical	=synonymous
untuneful	不悦耳的
apologia	辩解文
weird	不可思议的
abortion	流产
sertularian	桧叶螅
impermeable	不渗透性的
wearable	耐磨
suppose	推想
idiomorphism	自形
incunabulum	最初期
rumaki	腊肉春卷
unescorted	没有护卫的
fill	满足
rear	背面
mode	样式
interpretive	作为说明
nightlong	彻夜的
obtestation	恳请
fluvialist	河成论者
red	红
nutty	狂热的
fair	女性的
bitsy	小
sweetheart	爱慕
fractional	部分的
tumefacient	膨胀的
unrepealed	仍有效
fardel	包
ubi	无论在哪里
phylogeny	语系发生
interlibrary	馆际
facilely	轻快地
setup	设置
regional	整个地区的
tetracarpellary	四心皮
clianthus	开穗状花朵的矮树
exeat	外宿许可
sling	投石器
branching	发枝的
fatbrained	脑筋迟钝的
sprawl	爬行
gorilla	大猩猩
harmonical	调和
gruntle	使高兴
intime	=intimate
deadish	钝浊的
notification	告示
twicer	一事作两遍的人
altruist	利他主义者
notitia	记录簿
roomer	房客
och	哦!
monographer	专题论文作者
synaxis	敬拜集会
bloated	傲慢
alcaic	句法
pectinaceous	果胶
malconformation	畸形结构
enforce	强迫
ozonize	以臭氧处理
politer	优雅的
laval	似熔岩般灼热的
rubberware	=rubber
rationalist	理性主义者
ugt	急电
venerer	猎人
signalize	使显眼
leader	领导者
chiromancer	手相家
blouson	松紧带束腰的女衫
hypnogenetically	催眠
alluring	吸引人的
overstrain	使工作过度
synantherous	聚药的
mendacious	虚假的
irredeemable	不能兑现
hound	追捕
aeropulse	脉动式喷射引擎
anfractuosity	错综复杂
pinacoid	轴面
riffle	迅速洗牌
rightly	正当
pestiferous	邪恶
emotive	使感动的
limbless	无翼
manufacturing	制造业的
nonrated	不列等级的
recrement	废物
delaney	德莱尼修正案
snuff	鼻吸气息
piquant	顽皮的
electrosurgery	电外科学
outlook	见解
basan	书面羊皮
copiously	丰富
threat	凶兆
set	事先做好
tootsies	脚趾
praxis	习题
widger	小锄
compellent	强制性的
uncorrectably	不能补救地
radioecology	辐射生态学
brag	吹牛
testae	testa的复数
smatter	肤浅的知识
manchester	曼彻斯特
unrig	取下索具
twinge	一阵一阵痛
eclosion	涌现
trivially	平凡地
assailant	攻击者
decapitator	刽子手
blellum	饶舌的懒鬼
snooze	小睡
grammalogue	其记号
unfilmed	尚未拍成影片的
lacrimal	泪腺的
yautia	箭叶黄体芋
yellowy	淡黄的
particularization	分列
indemnitee	接受赔偿者
darwinian	达尔文的
sociosexual	社会群体内性关系
listener	听众
trismegistus	Trismegistus
pyrometamorphism	n
jointed	有接缝
vicenary	以20为基数的
tantivy	突进
tripod	三脚桌
sleave	解开
fewtrils	无价值的东西
couloir	山腹的峡谷
rebelliousness	造反
megapolis	大城市
amoebocyte	变形细胞
triggerman	刺客
testing	试验的
upcast	上抛
gain	增加
total	整个的
downhill	下坡的
cicely	没药科植物
backwoods	未开垦地
chemotaxis	趋药性
overpot	栽用盆过大
sha	hour
aca	of
unobvious	不明显
inerrably	确实地
aloetic	芦荟制
damagingly	很
biyearly	两年一次地
synostosis	骨性联接
nicrosilal	镍铬硅铸铁
adoptive	收养关系的
sickish	象是要吐的
finite	有限的
mayhap	但愿
countrymen	农民
roding	锚缆
expellent	驱除剂
theoretically	理论地
uncontradicted	不矛盾
sensibly	聪明
elaborate	精心制作
uart	Transmitter
impious	无信仰
decorate	为……做室内装修
cbc	Canadian
microreader	缩影胶片阅读器
callisthenics	柔软体操
eviscerate	除去精华
rheological	流变学
teething	出牙
peroxidase	过氧物酶
congenial	适意
cerebroid	如脑或大脑
insusceptibly	无感觉
prefectural	地方官的
featherbrained	愚蠢的
demurrer	异议
orb	弄圆
courtesy	礼貌
everest	珠穆朗玛峰
leukemogenic	引起白血病
antihero	非英雄主角
jingoish	沙文主义
weasel	黄鼠狼
potpourri	花香
mugho	pine
oneness	统一
handcraft	手工
sustainable	可以忍受
ultracentenarian	一百岁以上的人
unobserved	没有观察到
waterproof	不透水
bilabial	双唇音的
unimpassioned	平静
bronchitic	支气管炎
nonjuring	拒绝立誓效忠
immiserize	使贫困化
impeccable	不会做坏事的
preproduction	生产前的
appulsively	趋向
esb	electrical
hornbook	入门书
thoroughpaced	彻底
humorous	富幽默感
univallate	围有单层防护土墙
inscrutable	难以了解
senary	六
importune	强求
cynologist	狗学家
photophilous	嗜光
intoxicated	喝醉
disposed	有……倾向
natively	生来地
autodestruction	自毁艺术
orache	滨藜属植物
lever	抬起
sinkhole	污水池
malady	疾病
heterogenous	异质的
guest	作客
acrr	Relations
strumae	小节叶
obbligati	肋奏
comby	蜂巢状的
leftover	剩余物
unfatherly	残酷
amendatory	改正的
semiorbicular	半球形
coplanar	共面
pluckily	有勇气
malignancy	恶意
enactive	有制定权
crisis	危象
gangetic	沿恒河
poikilitic	嵌晶结构
jugoslavian	南斯拉夫
paging	内存分页
rama	罗摩(印度教神名
module	模数
libelous	损害名誉的
mask	戴面具
jauntily	活泼地
lankily	过分瘦长地
detergence	洗净
killdeer	小水鸟的一种
injuriously	伤害地
stagnancy	停滞
providing	倘若
undiscussed	未讨论过
negatively	否定
certain	必然
extirpate	毁灭
quay	码头
semibreve	全音符
keyword	关键字
marmorean	冰冷的
hairdye	染发剂
simulant	拟态
lr	铹
conchoidal	贝壳状
jugal	面颊
coadapted	相互适应的
vm	Virtual
lsat	Test
sports	有关运动的
coenozygote	多核合子
triclinium	躺卧餐桌
aperitive	通便药
mannerism	怪癖
chill	扫兴
lordy	老天爷
lardtype	脂肪型猪
suggestible	可建议
idolatry	过度崇拜
boatman	船夫
rival	竞争
virilia	男生殖器
thickset	繁茂的
shock	冲突
soupcon	少许
hypo	硫化硫酸钠
lockdown	一级防范禁闭期
unhidden	不隐藏
bock	一杯啤酒
apocarpous	心皮离生
hummer	蜂鸟
unwitnessed	无证人签字
honda	本田汽车
doyley	小型装饰桌巾
acquisitive	可学到
peck	扔
baconianism	认为莎士比亚戏剧为培根所著的主张
audibility	能听度
tuc	Trades
damnably	可恨
garibaldian	加里波第
unseat	使失去资格
mnemon	记忆单元
mousebird	齿鹑
homophone	同音字
mercia	麦西亚
lipolytic	分解脂肪
spermaceti	鲸脑
strap	用带缚住
underlying	在下面
tauromachy	斗牛
collocutor	谈话者
labour	劳动
tensile	可伸长
polyunsaturate	多不饱和物
cornucopian	丰饶的
tall	高的
horseman	马兵
lateritic	含有红土之特性
obstruct	遮断
ineffaceable	不能除去
lesion	损害
pasteboard	纸板做
proud	妄自尊大
noblest	高贵
johnboat	平底小船
polyphonic	复调
arabian	阿拉伯的
attrit	消耗战
quaintly	优雅
sometime	有一天
whom	pro
kudos	名望
bareback	不用马鞍
nonantagonistic	非对抗性的
herborist	=herbalist
ramify	成网状
bowfin	北美产淡水鱼的一种
triangulate	有三角花样的
tipsily	倾斜地
straightness	笔直
insubordinately	不服从
programming	规划
comecon	for
actorish	不受演技优劣影响
held	hold的过去式和过去分词
euglena	眼虫属
waterlocked	环水
rehearse	使排练
chlorinate	使氯发生作用
quinquelateral	五边
thenar	手掌
polysemous	一词多义的
synovial	滑液
adopter	养父母
fit	恰当的
afterdinner	正餐后的
hitlerian	希特勒政权
maxine	玛克辛
monkeyshine	把戏
paye	Pay
caddy	小盒子
midmorning	上午
steeplebush	绣线菊之类
lark	愚弄
electrofiltre	电滤尘器
signalled	告知
knightly	侠义的
nullifier	取消者
frowardly	顽固
deeryard	鹿群过冬的地方
chiaus	使者
wane	月亏
anglican	英国国教的
diamante	镶人造钻石
disseisin	侵占
sombre	阴沉的
czechoslovak	捷克斯洛伐克人的
programmer	程序规划员
geepound	斯勒格
superintend	主管
private	私有的
psyche	心灵
bulgarian	保加利亚人
intrigant	阴谋者
shammy	麂皮革
ecp	IEEE1284标准并行通讯标准的一种增强模式
over	越过
heavenly	天空
dairen	见
taxi	乘坐出租汽车
trecento	十四世纪
polysyllabic	多音节的
hexarchy	六国联盟
threesome	三人的竞赛
cuticolor	肉色的
tav	希伯莱语的第二十三个字母
globule	水珠
fingernail	手指甲
polynosic	高湿模量粘胶
egalitarian	平等主义
vinaceous	像葡萄
erythropsin	视红质
untenanted	未被租用
lavishly	丰富
incomplete	不完善
civil	市民的
machaira	双刃弯刀
ihp	horsepower
flatly	平平地
peritus	专家
legatine	使者
mounted	裱好的
anticommute	反对易
haycock	圆锥形的干草堆
buttlegging	偷税漏税贩运香烟
discourteous	失礼的
malleate	锻
campstool	轻便折凳
scuttle	急忙撤退
palembang	巨港
ironic	说反话的
rounding	凑整的
vdt	Terminals
overspray	超范围的喷涂
eatery	食堂
chorography	地势图
baking	烘焙
tdn	total
buddie	兄弟
unsuspecting	无疑虑的
smokeproof	防烟
slip	滑倒
abstemiously	有节制地
impavid	大胆的
snappy	爽快的
marianne	玛丽安
worriment	焦虑
egalitarian	平等主义的
gravenhurst	格雷文赫斯特
farcicality	滑稽
encyclopaedic	如百科辞典的
anticrop	破坏作物的
marcus	马库斯
rsgb	Society
immoderately	过度
faradaic	=faradic
strafe	机枪扫射
mpp	Massively
incorporeal	灵魂的
widgie	女流氓
intersubjective	主观间
underwrite	给……保险
homoeologous	部分同源的
extraartistic	艺术范围以外
tarradiddle	谎话
phagocytose	=phagocytize
succous	汁
unlighted	未被照亮的
mitochondrion	线粒体
cummer	教母
wistful	渴望的
drably	无光彩
snood	妇女发网
people	公民
time	期限
necromantic	妖术的
natural	自然界
muddle	使咬字不清晰
kenspeckle	明显的
savable	可储蓄的
communicate	相通
otiose	没有用的
estaminet	小酒吧
trendily	时髦地
skylarker	爱胡闹的人
reliction	新生地
cavecanem	小心恶犬
coaly	含煤
sumption	大前提
attributive	定语的
onward	向前的
paraprotein	异常蛋白
monochroic	一色的
expenses	费用
palpebrate	有眼睑
insusceptible	不为所动的
locality	地点
insinuative	巧妙巴结的
programmable	可编程
himyaritic	希米亚里特文化
mercantilism	商业主义
amplitude	物理学名词
irrespirable	不适于呼吸的
unboundedly	无边际地
spicae	角宿第一星
esthetical	美术
immethodical	无次序的
aiche	Institute
lycian	利西亚人的
wassailer	痛饮者
trounce	痛击
thrustful	积极进取
turtlet	小海龟
proteolytic	解蛋白的
interrogate	审问
peristalith	石柱圈
attachable	可附上
nab	逮捕
wolves	wolf的复数
monocarpic	结一次果
hfs	System
resuscitable	能复活
appellant	上诉人
bedpost	床柱
glottal	声门
incandescency	白炽
possess	支配
archducal	大公爵
unsearched	未搜寻过
monoploid	单倍体
xylophilous	木生的
hayfork	干草叉
ledgy	突出物很多的
intermediate	中间的
axillary	腋生
waste	变消瘦
mappery	地图绘制
ungovernable	难统治的
swellheaded	自大的
extracorporeal	身体外
instinctive	本能的
arability	可耕性
astute	机敏
orbicular	圆
plasmogamy	胞质融合
unbloody	未染上血
ibizan	hound
fuel	供以燃料
acknowiedged	公认
reinstallment	再装置
wide	宽
standpoint	观点
subastral	天空下
demimondaine	花街柳巷的
reappointment	复职
treasonous	叛逆
pyruvate	丙酮酸盐
oestrous	发情的
archontate	古雅典执政官的任期
uptodate	现时的
dupery	欺骗
eam	Apelevtherotiko
extraartistic	与艺术无关
intrusive	插入的
cognitive	认知
emaciation	瘦弱
fiery	暴躁
ultrarightist	极端右翼分子
hell	飞驰
unwrought	未做成
disciplined	遵守纪律的
brushback	头侧球
prothallium	原叶体
dismission	解雇
eventful	重要
overbrilliant	过分光辉灿烂
waywardly	刚愎
forked	叉状
adrate	附加税
nicolette	尼科莱特
usual	通常
loke	死胡同
whosis	=whoosis
abelmosk	黄葵
arrearage	拖延
electro	电镀物品
suspension	中止
excitation	鼓舞
mercurian	水星的
optician	眼镜商
inhabitant	居住者
sluttish	懒惰的
toolmaking	机床维修
wintry	象冬季
catcall	不满之声
animalistic	色情
disappointing	使人失望
shimmy	震颤
icaaaa	of
perfidiously	背信地
scruple	踌躇
dcs	Column
hypoxanthine	次黄嘌呤
beneficent	善行
hypo	瘾君子
chalk	和以白垩
festoon	结彩于
bourride	蒜味蛋黄鱼羹
waste	荒芜
jettison	投弃货物
antemarital	婚前
esophagitis	食道炎
cautelous	警觉
phlebogram	静脉造影照片
wash	虚假的
dashy	时髦
beethovenian	贝多芬风格的
sadistic	虐待狂的
savagely	残酷
beige	米色
semidiurnal	半天的
valet	伺候
sweated	低工资的
spatiotemporal	空间与时间的
mitose	发生有丝分裂
wordmongering	舞文弄墨
preoccupation	当务之急
ric	皇家化学学会
offset	平版印刷
baae	of
crotchet	反复无常
abortive	失败的
sempre	自始至终
minny	=minnow
gain	获利
leastwise	无论如何
rolled	包金箔
lattin	=latten
partizan	党徒
arms	兵种
garibaldian	拥护加里波第
conqueringly	耀武扬威
boresome	烦人
decenary	征收什一税的
transitively	及物地
nonhibernating	不能冬眠的
koutekite	六方砷铜矿
federalization	联邦化
assertor	维护者
exiled	放逐的
bilocular	两室的
incontinuous	间断
prunella	耐用的毛织品之一种
epileptiform	癫痫样
darling	亲爱的
instance	情况
howsoever	不管如何
lepus	天兔座
pettifog	讲歪理
lie	谎言
frightfully	可怕
grubstreet	潦倒文人的
leftover	残留物
xanthopsia	黄视症
unaverage	不寻常
scrap	敲碎
shodden	的过去分词
haplont	单倍性生物
lagnappe	小赠品
commonplace	平常话
rigorous	严峻
pargyline	巴吉林
adh	antidiuretic
contract	订约
forgetfully	健忘地
initial	初始的
absence	缺席
jurisprdence	法学
javelina	一种野猪
bittersweet	苦乐参半
lekythos	=lecythus
impracticably	不可能实施
laboursome	吃力的
beachhead	据点
techniphone	练习弹奏指法的无声钢琴
hotspring	温泉
bullfight	斗牛
fille	姑娘
candor	直率
humoresque	诙谐曲
home	家乡
aja	Americans
umbellule	小伞形花序
chlorotic	变色病
hypospadias	尿道下裂
goosey	鹅
lorn	荒凉
strychnos	马钱子
helpful	有帮助的
distant	间隔
heraldry	纹章
antemarital	婚前的
banausic	物质的
fere	配偶
malignance	有害
aphthoid	像口疮
unchangeable	不变
zealotic	狂热
fetich	迷信
venally	唯利是图
sufficient	足够的
wobble	抖动
bioassay	给……作生物鉴定
allegorically	寓言
hussy	贱妇
lurcher	杂种猎狗
quizzical	古怪
unthought	unthink的过去式及过去分词
companionate	友爱
flow	流动
phoenix	完人
petiolate	有柄
loss	失败
irrationalize	使不合理
pretty	可爱
lactary	牛奶房
flq	Quebec魁北克解放阵线
slate	蓝色
hypertonic	高渗
inimically	抵触
tailwagging	高速大转弯
educible	可引出
borrow	借用
mendacity	谎言
subservient	有帮助的
rigor	精确
inhospitably	冷淡地
subdirectories	子目录
featherlike	像羽毛
babbling	胡说的
unlively	不活跃的
algor	寒冷
mobbism	暴乱行为
tubercula	的复数
kengtung	景栋
aggravating	加重的
cryptaesthesia	=cryptesthesia
drugger	吸毒者
personnel	职员
argumental	好争辩的
plump	圆胖的
planify	系统规划
upriver	上游的
moola	钞票
frondage	叶
erosion	腐蚀
undisguised	无伪装的
phonetist	主张使用语音记号者
applewood	苹果木
estimate	评估
idle	游手好闲
damnable	该死的
cantonal	市区的
unboastful	不自夸的
lamblike	温驯的
unmortgaged	未抵押
marezzo	人造大理石
lipless	无唇的
vadm	Vice
bolt	门闩
primary	原来的
cdnc	计算机辅助设计数字控制
fine	美好
hit	成功
encroachment	侵蚀
feel	觉得
assaultive	喜好攻击
parenteral	肠胃外的
zonked	服过麻醉药
functionary	作用的
vugular	含晶簇的
kimono	和服
middleweight	中量级选手
typification	代表
correct	端正
sluttery	淫荡
candid	无偏见的
resilient	弹回的
penannular	形不成闭环的
potentiostatic	恒电势
tentage	帐篷设备
reoffer	再讨论
toxigenic	产生毒素的
belle	美女
identifiability	可识别性
graining	漆成木纹的方法
chloridize	用氯化物处理
rejuvenate	使恢复精神
captivation	魅力
lav	Vehicle
help	助手
caricature	讽刺描述法
neodoxy	新见解
merca	梅尔卡
vulgate	公认
distasteful	味道不佳
interpage	把……插入书页间
bandersnatch	一种想像中的猛兽
filial	孝顺
wastry	挥霍
yardwand	码尺
hugeness	庞大
puckish	淘气的
crepitant	劈劈拍拍响的
vagal	迷走神经的
missileman	导弹设计者
paranasal	鼻旁的
indent	定货
antilyssic	抗狂犬病
erect	竖立
sonofabitch	=son
tunisian	突尼斯的
drupaceous	可生核果的
silvichemical	林产品
conservancy	管理
basebred	无教养
tenebrous	晦涩
lifegiver	给予活力之人
mane	鬃毛
antipyretic	退热
coil	盘绕
gcse	Certificate
cantabrigian	模仿英国的
hat	戴帽子
glottology	言语学
bodgie	无赖青年
actuation	冲动
rickle	散乱放一起之物
quashy	似沼泽的
environs	市郊
notepad	记事本
swat	全垒打
fatidic	预言性的
inquirer	询问的人
falconet	旧式小炮
valhalla	瓦尔哈拉殿堂
sonsy	丰满
endogamy	同族结婚
clean	清白的
ssrc	Research
rsn	Now
redheaded	急躁的
unendued	未给予的
fibular	腓骨的
mercenary	唯利是图的
novaculite	均密石英岩
baoding	保定
mustang	野马
resipiscence	悔过
guardee	警卫
reignite	再点燃
difficult	难相处的
lxxx	罗马数字
governessy	古板的
weatherability	耐气候性
grasping	抓
noodlework	钻研
snowbush	山白刺美洲茶
streakily	容易生气地
abettal	=abetment
one	同样的
paleohabitat	古动物栖息
prefixion	置于前面的
priceless	极贵重
bathos	虚伪
isolable	可孤立的
transpire	发散
personalise	=personalize
majorcan	马略卡人
execratory	诅咒的
unitar	for
idioplasmatic	种质的
dizen	装饰
intolerant	不宽容的
hasenpfeffer	渍过再炖的五香卤汁兔肉
story	经历
unimpeachably	无可指责地
palynology	孢粉学
intersubjective	主观间的
abloom	开花
glooming	皱眉
hyalographer	玻璃书写术
undyed	未染色的
fitted	按实物尺寸做的
revengefully	燃起报复念头
eastwardly	向东
acgb	Council
tenko	战俘集合
chemosurgery	化学外科治疗
pdsa	"人民"兽医药房
beautifully	漂亮
gairfowl	=great
radioteletype	无线电传打字机
discontinuer	停止
epitaxial	取向附生的
garrulous	多嘴的
thermotensile	热抗张强度
mound	土墩
identic	同一
cataleptiform	似强直性昏厥的
nymphish	少女的
cockneyism	语调等
cern	laboratory
bramble	树莓
cubbyhouse	玩具小屋
triacetate	分子中含有三个醋酸基
crinkle	皱纹
godlike	似神的
infrequent	罕见
separability	可分离性
mure	监禁
unvitiated	未败坏的
gyrose	环形
inchoate	未形成的
plead	借口
temperamentally	气质
degust	尝
sound	噪音
decanal	牧师管辖
syllable	音节
seater	有……座位之交通工具
tipcat	两头尖的短木片
environmentology	环境学
thaumatology	奇迹论
idealistic	空想主义
malentendu	误解
clostridial	梭菌属
trublemaker	常惹麻烦的人
grilse	溯河产卵鲑
burthen	累
cmb	Manhattan
casuistical	诡辩的
judah	犹太所出的后裔
cycler	骑机车者
quadridentate	四齿的
finny	鱼族的
dioscuri	狄俄斯库里
con	反对票
unprojected	未计划的
facial	面部的
introduction	导言
organically	器官上
medallic	奖章似
ovular	卵子的
extrasolar	太阳系以外
superciliary	眉毛
tetanus	破伤风
swimathon	马拉松式的游泳比赛
formic	蚁
fear	恐怖
grubstreet	潦倒文人
phosphatic	磷酸盐的
reverberatory	反响的
runtish	矮小的
withering	使干枯的
mummy	干瘪的人
encouraging	奖励的
flowage	流出
transmountain	穿过山
orthodox	保守的
bullate	肿胀的
coat	外套
blacksmith	铁匠
serotype	按血清型分类
ambagious	迂曲
unlawfully	不正当
asphaltum	沥青
hiding	隐藏之事
ramayana	罗摩传
most	最多
freeform	形式自由
unaspiring	无志气
ckd	完全拆开
soluble	可溶解
paleosol	古土壤
aboveboard	光明正大
lightness	灵活
canicular	酷暑期
polemical	辩论术
defibrillator	去纤颤器
compulsory	义务的
swim	旋转
rigorous	严峻的
feudalistic	封建性
diminishable	可削弱的
glasshouse	玻璃厂
nickelic	含三价镍的
trireme	三层桨座之战船
antifungal	杀真菌的
literarycritical	文学批评的
convocation	毕业同学会
immolate	献出
fernanda	费尔南达
cqd	danger
congregationalist	公理会之教友
armada	舰队
triphyllous	具三叶
unspliced	非绞接的
tetraethyl	四乙基的
hereto	到此为止
ka	知识获取
hugely	非常
merienda	午后点心
fluty	柔软清澈的声音
latency	潜伏物
purlieu	常去的地方
coxal	腰节
antirachitic	治疗佝偻症的
tail	后面来
labile	不安定
around	周围
philippopolis	菲利波波利
tail	排的长队
gastroenteric	胃肠的
underfocus	欠聚焦
daggerboard	活动披水板
aimlessly	漫无目的
changeless	不变
foreignism	外国习俗
complete	全部
seedy	结籽
benedictive	祈求式
roughage	粗粮
springal	小伙子
promulgator	广传者
braze	铜焊
eugeosyncline	优地槽
smudgy	脏污
suspend	吊
commensal	共餐
shortstop	速显液
fulvia	富尔维亚
meshugga	失常的
disubstituted	双取代的
dirty	肮脏
treasonable	背叛的
copeck	俄罗斯小铜板
comfortlessness	孤单
alfisol	淋溶土
quadplex	四倍
madwoman	疯女
wolverhampton	伍尔弗汉普顿
wean	小儿
acheron	黄泉
abidingly	不变
element	元件
occlusive	咬合的
egress	出口
monoacidic	一价的
disilicide	二矽化物
nibble	半位元组
masticate	咀嚼
dejeuner	早餐
west	西
retinoscope	检眼镜
rale	水泡音
prickle	戳
unexaggerated	未渲染的
fungi	真菌类
nov	十一月
nark	作线民
unimolecular	单分子
arenation	热砂浴
mollification	缓和
quaternity	四个一组
sweepstake	彩票
commissurotomy	连合部切开术
unnourishing	无营养的
corrasive	侵蚀
connectedness	连通性
corselet	胸衣
cantilena	轻快的抒情短歌或器乐曲
powerlifter	力量举重运动员
po	便壶
mudfat	肥壮的
painsworthy	值得花力气
nuits	努依红葡萄酒
oxazepam	去甲羟基安定
stockrider	骑马的牧牛或牧羊人
brightsome	明亮
demythologize	除去…………的神话色彩
firmly	稳固
levee	筑防洪堤于
martyr	烈士
chlamydeous	有花被的
lissome	敏捷
inspirational	给予灵感的
corps	团
constantly	不变地
slack	淡季
scrubby	矮小的
apriorism	演绎之推论
beckoning	令人心动的
dungy	令人作呕的
screwy	怪僻的
errand	差使
reprofile	给……新的外表
heel	跟部
donetsk	顿涅茨克
lawing	诉讼
konfyt	水果糖
nativism	先天论
horseman	养马的人
scribal	抄写
juggle	歪曲
gigglish	好咯咯笑的
incarnate	肉色的
hydroelectricity	水力电气
cementite	渗碳体
sixfold	有六部分的
umber	棕土的
enounce	发音清晰地读出
thin	瘦
heller	昔德国之小铜币
capercailzie	北欧产雷鸟之一种
laniate	撕裂
penial	阴茎的
clothbound	布面精装
scapular	肩胛
iaaf	Amateur
coequally	平等地
obediently	顺从地
pilgarlic	可怜虫
sinophile	爱好中国的
supernature	超自然界
preposition	前置词
watkins	沃特金斯
remarkable	值得注意
acrimonious	辛辣的
inwit	良知
raffinose	蜜三糖
dieb	胡狼
lunisolar	由于日月的引力
shirring	褶襞
ahum	低唱
phosphonium	膦
eardrum	耳膜
nonflying	不飞的
tenpenny	十便士
theophany	神的出现
piteous	可怜
dotty	薄弱
euglobulin	真球蛋白
reconvey	再载送
pungent	辛辣
suggestibility	可建议
colorfast	不褪色
tergant	显示出背部
steak	肉排
systemless	无体系
vesiculate	小泡状
unmarked	无记号
oceanographic	有关海洋学的
lay	放置
airer	干燥器
mux	multiplexer
intestinal	肠内的
zemindar	地主
webernesque	具有韦伯恩音乐特点
scunge	借
intertwist	搓合
defeat	失败
recognized	公认
bloodiness	残忍
scyphistoma	螅状幼体
iea	International
adenoids	扁桃腺肥大
capitulary	牧师会
casteless	不属于任何阶级
isopycnosis	等皱缩
inodorous	无气味
housebound	不能离家
apophthegm	箴言
semiglazed	具半光泽
sobering	使冷静
tumble	跌倒
discredit	不信
help	招待
paradoctor	伞降医生
rostella	的复数
compliable	依从
storeroom	库房
mylonite	糜棱岩
samely	千篇一律的
goddamnit	该死!
conjuration	魔法
binocs	=binocle
germiston	杰米斯顿
andradite	钙铁榴石
swede	瑞典人
dona	小姐
hallucinatory	幻觉
unwind	伸直
amaryllidaceous	属石蒜科的
nameless	无名的
chat	聊天
treat	论述
burst	爆裂
roquelaure	男用齐膝外套
wain	北斗七星
clownage	小丑之行为或工作
pone	玉米饼
protonema	原丝体
latvian	拉脱维亚语的
muscleless	无力的
injudicial	浅薄的
sanman	垃圾清洁工
piedmontite	红帘石
accurately	精确地
form	构成
deutoplasm	卵滋养质
andrology	男科学
nicety	准确
desultory	断断续续
bloom	花
huffish	傲慢的
tinfoil	锡箔的
hodoscope	描迹仪
gainless	毫无进展的
achievable	做得成
laconically	简洁地
chyle	乳糜
nearctic	新北区
overcrust	用外壳覆盖
narrow	狭窄
rio	=Rio
ctenidium	栉鳃
hospitalman	海军医务兵
nausea	反胃
trews	紧身格子呢绒裤
quittance	报答
unreserved	坦白
alexbow	弓形破冰扫冰装置
acetyl	醋酸基
diplophase	二倍期
ravenous	渴望的
rakata	腊卡塔火山(即喀拉喀托火山
hyperspecialization	=overspecialization
platelet	小板
frightfully	非常地
placidly	平稳地
wishfully	渴望地
scs	Conservation
shank	胫
rack	使痛苦
discriminatory	有差别的
bratwurst	德国式小香肠
artiste	技艺家
endlong	全长
adumbral	成荫
skint	身无分文
bonkers	疯狂的
smear	涂片
unphilosophical	非哲学的
salishan	萨利希语组
formulation	作简洁陈述
spiccato	用跳弓弹奏的
cockeye	喝醉
genevan	日内瓦的
blocking	舞台调度
unsanctioned	未通过
geostationary	与地球的相对位置不变
constantsa	康斯坦萨
necrobiosis	渐进性坏死
bronx	布朗克斯
sublapsarian	=infralapsarian
feverish	发烧的
vendible	可销售物
karstification	喀斯特作用
umbilicate	中间凹的
sound	发出声音
irish	爱尔兰
pernoctate	通宵祷告
overrun	蹂躏
bear	负担
wakefully	提高警觉
fifthly	第五
hag	魔女
dematerialize	消失
tardigrade	缓慢的
pastorally	牧歌般
pterylography	鸟羽分布描述
miniature	缩图
idle	不做事
nop	otherwise
emancipationist	解放主义者
upstage	自负
sabrecut	被砍的伤口
chancellor	大臣
phytobenthon	水底植物
valorously	勇敢
moil	骚动
misconception	误解
unrepulsive	不可憎的
irisated	虹彩
visitor	游客
stoup	酒壶
karateka	空手道专家
trough	饲料槽
lunar	月亮的
tower	塔
cavern	洞窟
complaisant	彬彬有礼的
dodecagonal	十二角形
cephalometer	头部测量器
manstealing	诱拐
russian	俄国人的
decoy	诱骗
furnisher	供给者
vicissitudinous	有变化
slurp	啜食
emprise	壮举
onlay	裱贴
lilliputian	小人国居民的
tully	塔利
strained	紧张的
antilabor	反工会的
surat	苏拉特
airport	小型民用机场
fissile	易分裂的
leeangle	L形尖头粗木棒
pop	热门
