saltimbocca	意式煎小牛肉火腿卷
minamata	disease
waistline	腰身部分
logy	迟缓的
preaxial	中轴前
limberneck	腐肉中毒
fiduciary	受托人
though	尽管
authoritative	权威的
twelvemonth	一年
brasilein	=brazilein
specky	有瑕疵的
measly	患麻疹的
avt	tax
glycoside	配醣
electroengineering	电工技术
sensate	可感觉的
cismontane	山脉的这边
incorporative	合并
thriftless	浪费
unknowable	不可知
visuospatial	视觉空间的
tx	Texas
inconvenient	不便
lose	使沉溺于
umw	矿工联合会
jestingly	滑稽
yamato	大和人
cryptographical	密码的
fairing	酬谢礼品
humorous	滑稽的
thermoremanent	热顽磁的
rouille	胡椒味大蒜酱
reliant	信赖
arthroscope	关节内窥镜
crustaceous	外壳的
unexacting	不苛求的
droopy	无精打采的
fool	开玩笑
morbidity	病态
immaculate	完美
cancerization	癌化
nourishing	有营养的
teentsy	很小
manducate	吃
work	作品
prettify	修饰
raised	浮雕
scrap	废弃
opportunity	时机
subcylindrical	近圆柱形的
unexpectable	不可预言
phanerogamic	开花的
urson	鸾猪
kasolite	矽铅铀矿
reemphasize	再度强调
integrase	整合酶
homalographic	=homolographic
southwardly	来自南方
liberalize	自由化
intracerebral	大脑内
ovoid	卵形的
saury	竹刀鱼
literal	照字面上
heathy	石南丛生
gumshoe	偷偷做
rumpless	无尾的
anile	似老妪的
majestic	庄严
fireplug	灭火塞
chlorophyllous	含叶绿素的
muffle	围巾
aujus	带原汁
treasure	珍品
knightlike	骑士风尚的
documentarist	=documentarian
finny	有鳍
sinaean	=Chinese
untogether	混乱的
ethnics	伦理学
unvitiated	未败坏
avowed	公开宣布
wherefore	为此
ciborium	祭坛上的天盖
biosonar	生物声纳
antipathic	反对的
particularist	同上主义者
ruination	毁灭
cant	讲黑话
wbo	World
sheath	鞘
protomorphic	原形态
seam	缝合
subdivisible	可以再分的
partnership	配对
sejant	伸直前脚而坐
aeromechanic	航空技士
evergreen	常绿植物
dexedrine	中枢神经刺激剂
condyloma	湿疣
betrothal	婚约
immutability	永恒性
gab	爱说话
achievable	可有成就的
educable	可培养
johnsonian	约翰逊研究者
necessary	必然的
count	计数
snell	精明
glandular	起腺体功能的
raffish	名誉不好
minuscule	用草写小字写
ovibos	=musk
whatso	不论什么
patronage	赞助
videorecord	录制……的录像
slimmish	稍为苗条的
rule	破折号
drawn	draw的过去分词
destructible	可破坏的
assumed	装的
squirm	蠕动
aquiferous	蓄水
claptrap	讨好的言语或行为
flightily	轻狂地
monomial	单项的
presumably	大概
excurved	往外弯曲
cynocephalous	似狗头的
canular	套管状
haptical	触觉
humoral	体液的
rx	处方
knowable	可知
lure	引诱
bulkily	笨重地
print	印刷业
accessorius	副肌
kindly	温和地
trample	蹂躏
finny	鳍状
piping	尖音
jamaican	牙买加的
jugum	腕锁
pluviose	雨量多的
scope	余地
leave	离开
irides	鸢尾科植物
erasmian	伊拉斯谟作品
noogenic	心理演化的
bulgur	碾碎的干小麦
comparable	比得上的
naupathia	晕船
sthenic	亢进性
disbelieve	疑惑
jerusalem	耶路撒冷
tripey	废物似的
amoebiasis	变形虫病
slipway	船台
bestial	兽性的
strife	竞争
unconventional	/
pilous	有毛的
contemplative	沉思
masturbatory	手淫
superphosphate	过磷酸石灰
repose	使休息
septangle	七角形
uri	upper
replicative	重复
tache	斑点
inartistic	缺乏艺术性的
alibi	托辞
heimisch	不装模作样的
penile	阴茎的
microscopic	精微的
score	帐目
vociferation	大声叫嚷
distressful	不幸
architrave	线脚
senopia	老视减退现象
devoid	全无
irreplaceability	无法调换
capot	独赢
hatchet	短柄斧
subsidise	平息
disconcertedly	不安
glucokinase	葡糖激酶
abiogenetic	无生源说
cough	咳嗽
ephemeris	星历表
vulgarize	使庸俗化
illustrious	杰出
gum	香口胶
hydrous	含水
amazingly	可惊地
rumormonger	造谣者
awny	有芒
airproof	不通气
oxymel	醋蜜剂
average	一般
pigmentary	色素
squantum	烤蛤野餐会
karyotype	染色体组型
striction	紧缩
safekeep	维护
insensitive	对……没有感觉
abnormality	异常性
incursionary	侵犯
lawny	平坦并铺有草皮的
venerable	值得尊敬
hickwall	啄木鸟
inclinable	倾向于……的
pict	皮克特人
whizzo	极好
rogatory	查询
spectroradiometer	分光辐射度计
bromo	助消化药
shamus	警察
blacking	黑色涂料
wow	哄动一时的人物
genie	妖怪
mendable	可更正
unartistic	与艺术无关的
stringless	无弦
gadfly	形似苍蝇
valorously	无畏
smoky	冒烟的
pesky	烦恼的
outskirt	外边
deuteronomist	作者
comfortlessly	孤单地
sunghua	见
tramp	践
unweary	不厌倦的
dohc	双凸轮轴
permissible	可允许
saveloy	干腊肠
xxxix	罗马数字
fastening	结扎者
desolation	忧伤
marina	码头
illatively	根据推论地
absolute	绝对的
dusk	黄昏
zany	滑稽的
baric	含钡
faa	Administration
destructional	由破坏因素造成的:
acoustic	音响学
hidden	隐藏
ejido	合作农场
giddy	轻率
cyclopedic	广泛
taxameter	自动计费计
crepitation	爆裂声
restauration	修缮
husky	嘶哑
driveability	操纵性能
indemnitor	保障者
foretime	过去
encephalograph	X
aid	Identifier
vegete	生气勃勃
weeknights	在周日夜晚
dilate	扩大
editmenu'	NULL)
specula	子宫镜
strict	严谨的
bruiser	彪形大汉
buntline	帆脚之上升索
alpargata	帆布轻便鞋
parthenospore	单性孢子
slimmish	略嫌不足
eudaemonia	因理性而积极生活所带来的幸福
hypomanic	轻度躁狂
substernal	胸骨下的
archaistic	拟古
biedermeier	彼德麦式样
skiver	割皮革的人
paperbacked	平装的
divers	种种的
pantomime	手势
mentalism	心灵主义
conarial	松果体的
vallum	壁垒
and	并
restrain	抑制
reflorescence	第二次开花
horsepox	马天花
unshaded	未遮住
palliatory	减缓的
transpiration	散发
elucidative	解释的
lapin	兔子
equatorial	近赤道
cheliceral	前肢之螯
macedonia	马其顿地区
schumpeterian	熊彼特经济学说主张者
neoplasitc	新造型主义
grimm	Jakob
sss	Selective
intilted	向内倾斜的
hydrometeorological	水文气象学的文气象学
chain	用链条拴住
prodigalise	=prodigalize
thursday	星期四
reversible	可逆
telephoto	用远距镜头照相
inkholder	贮墨筒
atrium	中庭
mshe	Science
goon	愚笨者
gftu	Trade
smokables	烟草
torous	=torose
unembroidered	朴素
scandent	附着
table	餐桌
uniplanar	单面延展的
concoct	编造
floricultural	养花
panegyrical	颂词
cattery	养猫的处所
agilely	敏捷地
imprecision	不严密
led	Light
macao	澳门
humbleness	谦逊
countryside	乡下地方
popster	=pop
stockily	一本正经地
unvexed	不受干扰
edge	侧着移动
tennessean	田纳西州人或居民
diffused	散布
venomousness	有毒
discal	盘状
gate	大门
superterrestrial	天上
braky	多刺丛
factorial	阶乘
erbium	铒
tailfirst	尾在前地
loth	勉强的
sluttery	邋塌
datacasting	数据广播
to	汤加
subdolous	有点诡谲的
manumit	解放
machicolate	开堞眼
frankenstein	毁灭创造者自己之物
raffinate	残油液
whilst	时时
mesotrophic	中滋育
plowland	古代土地面积
equipped	装备
expedite	畅通的
disappointed	失望
neuromotor	神经运动的
eyre	巡回法院
sightworthy	值得参观的
indisposition	不适宜
accumulator	蓄电池
taboo	禁止
waxen	蜡的
fluky	变化无常
sintra	辛特拉
hydraemic	水血症
extra	特大的
tasty	好吃的
language	代码
lopstick	截枝树
lichenology	地衣学
dung	粪
achilles	阿基里斯
asap	Soon
debriefing	任务报告
biparietal	二顶
noncontrastive	不对比的
inhaul	引索
nix	停!
magic	有魔力
sized	有……大小
ultrafine	极其细小
incapacious	无能
dead	熄灭的
suberose	软木质的
amimeche	机械工程师学会准会员
hypergamous	与上层阶层或地位高贵的人联姻
shearling	剪过一次毛的羊
caucus	领导人秘密会议
rhizoma	根茎
sniff	嗅
wilful	任性
cyclostomatous	有圆口
fan	刺激
baltimore	巴尔的摩
yearn	向往
weltschmerz	悲观
epicardial	心外膜的
deficient	不足
slyboots	狡猾的人
fineness	优良
epiphanic	顿时领悟
extractant	提取剂
gioconda	不可思议的
dirge	哀悼歌
telosynapsis	衔接联合
revisionary	修正
feta	羊乳酪
ncsa	国家超级计算应用中心
possibilism	可能主义
underproductive	`QndE9prCdQkv/
enslavedness	被奴役之状态
sempiternity	永久
scherzando	诙谐
spark	求婚
ravine	溪谷
millcake	亚麻籽渣
progress	前进
register	登记簿
hathoric	爱神哈索尔的
handled	有把手
duplicable	可再发生的
laddish	稚气
seaward	朝海的
pergola	绿廊
racon	雷达信号台
reinsure	再保险
browser	吃嫩叶的动物
turdine	鸫的
welter	汹涌
complimentary	夸奖
spirochaeta	=spirochaete
contrarily	相反
fulminous	像迅雷的
coop	拘禁
zymase	酒化酶
encephalitogen	致脑炎物质
sheathe	插入鞘
until	到……为止
macrophyllous	具长叶
chlorite	绿泥石
organically	有机
paranormal	超过正常的
homeric	荷马时代
torpedo	鱼雷
unemployable	不能受雇的
nazim	督军
remember	记
cad	卑鄙的男人
lentiform	透镜
dls	Library
abandon	放弃
nob	大人物
decubital	卧姿的
spenglerian	施本格勒理论
devotement	献身
palace	宫
browse	放牧
failure	疏忽
bally	极
fetoscopy	用胎儿镜观察胎儿
entitle	给……权利
cockalorum	自负的人
lithite	平衡石
slung	sling的过去式及过去分词
sotted	麻木迟钝
leg	走
gaedhelic	哥德里克语
revisionist	修正主义
indulgency	放纵
true	忠实的
minium	朱砂色
amendable	可修正的
tuitional	讲授
shakily	虚弱不堪地
reduction	缩影
fluorinate	在加少量之氟
bloke	小子
soph	=sophomore
germination	萌芽
endoderm	内皮层
tumbrel	农用自卸车
fingersmith	接生婆
engage	使参加
kongo	刚果语
teapoy	三脚几
color	变色
rhapsode	荷马史诗吟诵者
republican	共和主义
flaxbush	新西兰麻
coven	十三女巫大集会
homozygous	同型结合
technicolored	天然色的
feverwort	泽兰属植物
sclerotin	壳硬蛋白
hexahedral	六面体的
amphichroic	两性反应的
comprehensivize	综合化
sod	草地
acridity	狠毒
unbelief	不信仰
were	be的过去式
industrialisation	工业化
nonpasserine	非雀形目
productivity	生产力
saphenous	隐的
homoplastically	类似
bullish	似公牛的
incandescence	炽热
adieu	再见
saturant	使饱和的
hazy	朦胧
precooler	预冻装置
aethereally	飘渺
growthman	主张经济发展政策的人
eudemon	守护神
undemonstrative	含蓄的
mephisto	=Mephistopheles
unipole	单极天线
dendrogram	系统树图
jaundice	黄疸
infertile	不肥沃
logarithmic	对数的
raunchy	肮脏的
hegemonism	支配权
jumbuck	羊
trolleybus	无轨电车
quackster	骗子
commencement	开始
catechetical	问答式的
emblematic	标记
secund	只有一边
wrest	猛扭
entrain	导致带走
sphere	半球
investiture	授职
sordamente	抑制地
parcelgilt	局部镀金
fold	折
baseset	基本集
densimeter	密度计
seiche	湖面波动
smack	滋味
vain	徒然
southing	南向
trammel	阻碍物
gynecology	妇科医学
intermit	中断
sabot	木底皮鞋
stale	陈旧的
lucullan	奢侈的
integrated	综合
oncer	只做一次的人
sore	痛处
lateral	侧部
pillory	上颈手枷
aplasia	发育不全
subaltern	中尉
anthropophuistic	神人同性论的
toothed	有……齿的
extraction	取出
workpoint	工分
steak	鱼片
waspish	易怒的
indigene	土著
umiak	木架蒙皮船
magniloquence	夸大
bottlekhana	伙食房
impetuous	猛烈的
linked	显示连环遗传的
ineffaceable	不能除去的
vendee	买方
ripsnorter	突出的人
insectology	昆虫学
unfearing	大无畏
ophiology	蛇学
drizzle	下毛毛雨
arrowy	笔直
keten	=ketene
ashman	清垃圾的工人
cruciate	十字状
portwide	全港
drum	作鼓声
maracaibo	马拉开波湖
terni	特尔尼
threeman	三人共同管理
interpolation	插补
voyageur	加拿大的船夫或樵夫
upcurl	蜷曲
filth	猥亵
rostrum	演讲坛
verneuk	骗
joel	约耳书
commend	吸引
backwardly	落后地
glossopharyngeal	舌与咽的
hizen	肥前陶器
surinamer	苏里南人
choreography	舞台舞蹈
multinomial	多项
villeggiatura	乡村生活
confirmedly	根深蒂固地
lientery	滑肠
lineshaft	天轴
conventionally	照老例
iconographic	肖像的
arachnoid	蛛网膜
rapparee	土匪
formularise	=formularize
preconvention	大会前的
vaccinal	疫苗
docking	入坞
moviedom	影坛
rosaniline	由苯胺制得的红色染料
peytral	=poitrel
greenstone	绿岩
zeolitize	沸石化处理
ampullaceous	瓶状的
noctambulism	梦中步行
special	专门
delphic	暧昧
gibber	把莫名其妙的事叽叽喳喳地讲
sogat	of
transpire	使蒸发
nodular	小瘤的
pectinaceous	含果胶的
supervisee	被监督者
sunlike	非常明亮的
overpowering	压倒性的
urinogenital	=urogenital
evisceration	取出内脏
aardvark	土豚
orthognathous	直颌的
unreceptive	不会接受
unskilful	不熟练的
unceremonious	随便
lurch	困境
corned	弄成细粒的
seizor	占有者
descendant	后裔
suttee	妻子的殉夫
rattleheaded	头脑空虚的
monostele	单体中柱
elusive	易忘的
tearless	不流泪的
invective	恶言漫骂
empoison	污染
improper	不正确的
depart	过去的
virescence	绿色
aquaria	见aquarium
triptych	三幅一联
affranchise	恢复自由
monographist	专题论文作家
coi	Central
endurable	能忍耐
weave	编法
foliicolous	寄生在叶上
infinite	无限的东西
astringency	收敛性
unacquaintance	不相识
unattended	无人出席的
totter	摇摇欲坠
gumbo	坚硬黏土
trifle	嘲弄
palliard	放荡之徒
penitential	后悔
arrearage	延滞
downsizing	缩小化
hebrewwise	希伯来式
evolvement	演变
dural	硬脊膜的
zeroize	拨回零点
encyclopedical	百科全书的
signalize	向……发信号
unfilmed	尚未拍成影片
parasitology	寄生虫学
gunfire	炮火
spectacled	有眼镜状斑纹
diminutive	指小
shaving	刮
outhouse	厕所
inter	埋葬
whole	纯粹的
chalybeate	铁泉
wrongfully	不正当地
apt	灵敏的
tetraphonic	四声道立体声
mfp	多功能打印机
airy	空想
medici	=Medicean
egad	天哪
venturous	大胆
mildew	使发霉
nonprotein	不含蛋白质的
bumkin	=bumpkin
necrophagous	吃腐尸的
plantlet	小植物
mealymouthed	不敢直说的
aperitif	开胃酒
sacerdotal	祭司
oxidate	=oxidize
overrun	泛滥成灾
trochilics	旋转机械运动学
dump	堆存处
teleological	目的论的
irreproachable	无可指责的
reckless	不计后果
enzygotic	同孵性的
pistillate	有雌蕊
intercommunal	社区之间
world	……界
lequear	花格平顶
scoriae	火山的岩烬
uptodate	现时
parc	帕洛阿尔托研究中心
nicish	须慎重对待
latifundista	=latifundist
commence	着手
neutrophile	嗜中性
impledge	抵押
wobble	动摇
ladrone	土匪
superficialness	肤浅
laocoon	拉奥孔雕像
overlive	活得比……长
deprecatingly	不赞成地
wilson	威尔逊
unharming	无害的
pigheaded	愚蠢
drachm	古希腊的重量单位
comparator	比较仪
indistributable	不可分配
consternation	惊惶失措
blues	沮丧
neologism	创造或使用新语
whalecalf	幼鲸
upstream	逆流
shikaree	猎人
show	炫耀
sustainable	养得起的
losing	损失
impedient	阻碍
aperiodic	不定期
minicam	小型摄像机
hick	土头土脑的人
scoot	迅速跑开
shapable	样子好的
nasty	威胁的
allelic	等位基因的
preemployment	雇用前的
solarization	负感作用
aapss	Political
papal	罗马教皇
funny	奇异的
undescribable	难以叙述的
betaine	三甲铵乙内酯
unspeakable	坏透了的
handsbreadth	掌幅大约4英寸
doss	卧处
histopathologic	组织病`lCdVIkEl/
cloy	吃饱
drably	单调乏味地
exhaustion	疲惫
saunter	闲逛
nescience	无知
dartle	连射
cheapness	廉价
peachblossom	桃花
rencontre	遭遇
dilater	扩张肌
unmoving	不感动人的
leggy	腿过长
oversea	海外
suction	抽水泵
ural	乌拉尔山脉
halafian	哈拉夫文化的
conjunctive	连接
debag	脱去……的裤子
insomuch	就此程度而言
refuge	避难
exdividend	除般息
aeromechanic	航空力学的
sensation	耸人听闻的
kumgang	金刚山
therm	千卡
proscription	剥夺人权
sklodowskite	硅镁铀矿
dumb	不说话
wud	发疯的
counsellor	律师
cuffy	黑人
hydrophile	亲水
swelldom	时髦的人
passably	也还过得去地
forgetfully	健忘
handicap	妨碍
edward	爱德华
boy	男孩
flutter	拍
beribboned	有饰缎带
esthetics	美学
exoatmosphere	外大气层
pseudoclassic	伪古典的
invidiously	不公平地
opaque	不透明
uat	de
lonely	人迹罕至
bemud	使迷糊
orthogon	矩形
decant	移入其他容器
demonstrate	证明
nosogenetic	致病原因的
keyman	最重要人物
imaginably	可想象地
scepticism	怀疑主义
pebble	小圆石
flaccid	无活力
ninebark	九层皮
apiary	养蜂场
msbc	房屋建筑学硕士
feeling	富于同情心的
unrhymed	不押韵
diffusible	扩散性
subhuman	类人
style	时尚
rtl	电阻晶体管逻辑
improvvisatore	=improvisator
cleverly	聪明
igmp	Protocol
hhfa	Home
samnite	意大利一古民族人
smartness	现代风格
scholiast	注释者
tintinnabular	铃声的
relict	残余体
feldspathose	长石质
gigsman	轻便快艇水手
bested	在……境遇的
raffle	抽彩
heavenly	神圣
msgm	Management
po	夜壶
ectogenic	体外发育的
nonresistant	不抵抗主义者
double	双重的
facility	熟练
dastard	懦夫
belated	误期
brisk	敏锐
vii	7
gummous	似树胶
feldspathic	象长石的
meliorable	可改良
thinnish	有点薄
detent	掣子
vehicular	作为媒介
genealogical	家系
xeromorphous	旱生型
hepatopancreas	肝胰腺
criminal	罪恶的
meagerly	贫乏
wisecrack	说俏皮话
socially	善于交际地
chivaree	笑闹音乐
victual	贮藏
charitably	慷慨地
transferee	受让人
parabombs	空袭用的炸弹
nurbs	曲线曲面的非均匀有理B样条
half	半学年
prudently	慎重地
tartarean	地狱的
lion	狮子
triole	三连音符
consubstantiate	圣体共在论/
degree	程度
niggle	拘泥小节
working	抽搐的
misunderstand	误会
blubber	哭泣
faint	衰弱的
flapjack	小粉盒
consequentiality	自大
verrucose	多疣肿的
rub	擦
spreadable	容易被涂开
unshod	赤脚的
neighbour	邻居
lichee	荔枝
piligerous	被毛
digitated	有趾
spasmodical	间歇性
unlearnt	unlearn的过去式及过去分词
bibliopegistic	/
conclusive	最后
hematozoal	血内寄生的
suspensible	可中止的
seat	座
mapam	以色列统一工人党
downside	底侧的
bumptious	盲目自夸
proprietress	女业主
heterokaryotic	异核体
glance	扫视
maunder	徘徊
zincky	似锌的
snuffy	讨厌的
assimilatory	同化力
diamagnetism	反磁性
molluscoid	软体动物似的
sigillographer	印记学家
honorable	可敬的
knightlike	正义的
halation	晕光
socle	脚柱
placentate	=placental
collaborate	合作
unshaped	不成形状的
result	结果
subjugation	征服
unremitting	不懈的
eunuch	宦官
spoonerism	斯本内现象
hijack	揩油
audacious	卤莽
asid	American
brushy	毛茸茸的
undergird	加强
micr	Recognition
acuate	锐利的
earthstar	量显地星
m	/存款单
whipping	鞭打
typesetting	排字的
ovenwood	木柴
collaborative	协力完成
unaccented	无重音
jointed	有接缝的
a	帐上
unhandily	笨拙
fewtrils	小事
nontoxic	无毒的
nutsy	发疯
rimous	有裂缝的
optometrist	验光师
unsuitability	不适合
colourless	无色
county	郡
vascar	Computer
flatly	水平地
ballistic	弹道的
oread	俄瑞阿得
fontal	泉
spiry	尖端的
monostomous	具单盘
mandrel	心轴
euhemerism	神话即历史论的论点
feebleminded	意志薄弱
foundry	翻砂
material	实质性的
gox	oxygen气态氧
eec	欧洲经济共同体
unadvised	欠思虑的
osteoplasty	骨成形术
antiform	反传统形式的
francophobe	讨厌法国的
discernable	可认识的
tachygraphy	速记术
formicivorous	食蚂蚁
matted	纠缠
idlesse	空闲
anaplastic	还原成形术
basque	巴斯克人的
unaccepted	未被接纳
spyglass	以开发Mosaic浏览器闻名
primogenitary	长嗣继承
indisposed	不合适
hectic	发热
unfatherly	残酷的
immalleable	不能适应的
unsex	使失去性功能
mohammedan	穆罕默德
identic	完全相同
blaspheme	咒骂
siphonophore	管水母目动物
bugs	发疯的
technocracy	专家政治论
crustless	无硬皮的
clean	清洁
reject	驳回
transmission	传送
joycean	拥护或喜欢乔伊斯的人
herbage	草
overpunch	补孔修改
barbaric	肆无忌惮的
pikeperch	鰤鲈
misjudgement	判断错误
hippological	马学的
trappy	艰险的
grifter	骗子
zoroaster	拜火教的创始人
interpenetrate	渗透
sm	Sadism
voluntary	非官办
jug	水壶
unspilt	未溢出
hyperosmia	嗅觉过敏
hetero	非同性恋者
fissive	分裂生殖的
cant	斜面
scabwort	土木香
veil	蒙上面纱
canary	淡黄色
withering	摧毁的
photodecomposition	光解
inimically	有敌意
icehouse	冰库
subservient	屈从的
aapss	美国政治和社会科学研究院
brassiere	奶罩
bally	可厌
hutch	把……装箱
inferable	能推理的
sawder	奉承
barnacles	鼻钳似的刑具
alpine	高山
platycephaly	扁头
leftist	左翼的
peloponnesian	伯罗奔尼撒人
rebarbarize	使重新变野蛮
ruling	裁决
elastic	弹性
greatly	非常
fichu	三角形披肩
atwirl	快速旋转的
imprest	预付
flavopurpurin	黄红紫素
dotted	有点的
apogamic	无配子生殖
passenger	旅客
nick	挑毛病
typefounder	铸字工人
equality	等同性
superposition	重叠
confraternity	帮会
bisynchronous	双同步
aeriferous	送气的
barracuda	鱼
lossmaking	老是亏损
price	价钱
ruffianly	恶棍般的
airt	方向
square	结算
disproval	反证
afterlight	后见之明
embryophyte	有胚植物
galley	狭长船
etcher	腐蚀铜版制作者
porky	猪肉
photovaristor	光敏电阻
barrage	弹幕射击
oleomargarin	人造奶油
fullhearted	充满感情的
deplethoric	体液缺乏
hamiticize	使含米特人化
unimpressible	难受影响的
yielder	提供产品的人
tailorable	可裁制成衣的
antiheroine	非正统派女主角
phototaxy	趋光性
athambia	冷静
rieka	=Rijeka
gleaning	拾落穗
ruefully	可怜地
staggerbush	马氏南烛
arrant	声名狼藉的
chipper	切东西的人或工具
mitral	僧帽状
overlusty	过分强健的
unworthy	不足道的
supermanly	超人的
consent	同意
deneutralize	非中立化
newspaperdom	新闻界
pentagraph	相连的5
distinction	级别
canalside	在运河边上的
putschist	反叛者
pretor	执政官
halala	哈拉拉
quarter	季度
niggerize	轻蔑地对待
blackguardly	流氓的
disoriented	无判断力的
delawarean	特拉华州的
uba	Airways
curse	咒语
drifting	漂流
saving	补偿
amok	狂乱地
interface	界面
jugate	具翅轭的
misbeseem	=misbecome
positive	绝对
promptness	敏捷
icebound	冰封
petn	tentranitrate
flocky	毛茸茸
oleomargarin	人造奶酪
constantly	经常地
eccrinology	分泌学
inflammable	易燃的
uniparous	单梗的
difficult	艰难
peenie	阴茎
engraver	雕工
crassly	粗鲁
fascisti	法西斯党
alchemistically	炼金术地
vociferous	大声叫
daughterly	女儿的
rachitis	脊柱炎
expand	详述
bioavailability	生物药效率
fiduciary	被信托者
actinal	口侧
undercut	雕出
needler	揶揄别人者
transude	渗出
cozily	安乐
unreduced	未弱化
sabrina	塞布丽娜
epigraphist	碑铭研究家
tricarpellate	三心皮
informally	非正式
afl	American
deuce	平分
cymous	聚伞状的
its	它的
spathe	佛焰苞
obtuse	钝的
level	夷平
apteryx	新西兰人
oratorize	高谈阔论
groovy	槽的
achievable	可完成的
fearless	不怕的
laminose	压成薄板
psychosomatic	精神身体相关的
duster	打扫灰尘的人
hypaethral	户外的
unseat	使从马上摔下
fissirostral	宽而深裂
vacillation	踌躇
mortal	致命的
bpc	Pharmaceutical
thankful	感激的
slipslop	懒散
pontes	连接部分
mafic	铁镁质
touchable	可触的
semihyaline	半透明的
msbc	Construction
movement	动作
bibliographical	著书目录
haemophilic	血友病的
venial	可宽恕
siphonaceous	虹吸管状
interpretable	可判断
incompatibly	矛盾
vlcc	very
federal	联邦
fermentative	有发酵力
metestrus	=metoestrus
noctuid	夜蛾科
caliology	鸟巢学
maura	莫拉
yielding	让步
pugnacious	好斗
businesslike	公事公办
hoot	表不满或轻蔑的叫嚣
improper	不适当
volation	飞行能力
mahlerian	马勒
iconological	肖像学的
ceinture	束带
achaia	=Achaea
longanimity	忍受
cardioverter	复律器
proseman	散文作家
sunbrowned	被太阳晒黑的
galvanic	以流电所产的
ghettoize	使成为少数民族居住区
capsulotomy	被膜切开术
polychroism	多色性
distance	经过
ethnic	人种的
photons	光量子
blundering	浮躁的
consummate	使达到极点
tale	谣言
slojd	工艺教育
unambivalent	鲜明
negationist	虚无主义者
spiccato	用跳弓弹奏
lazaret	传染病院
facta	辩驳书
catty	阴险
cdt	中央时区
struthioid	=struthious
mccarthyite	麦卡锡主义者
telegenic	适于电视广播的
paddlefish	白鲟
celesta	发出如钟的声音的一种有键的小乐器
counterplan	对抗方案
left	左倾
schmo	笨人
infrasonic	使用次声的
bald	单调的
maracaibo	马拉开波湾(即委内瑞拉湾
instance	获得例证
uno	United
npa	Publishers''
overmatter	留在下期刊载的稿件
lattermost	最后
ichor	脓水
backwrap	背部装拉链的套衫
hexylic	己基的
odious	可憎
dsp	Signal
tumble	摔倒
screever	告地状者
mex	墨西哥人
count	数
smallshot	小人物
advertizing	广告的
factor	要素
barrage	拦河坝
minimal	最小限度的
intramural	内部
sarin	甲氟膦酸异丙酯
rampancy	繁茂
being	人
liberatory	同意释放的
nav	asset
ghibelline	皇帝党员的
rocking	摇摆
horsepond	洗马池
bleak	黯淡
psychomotor	精神运动
varangian	瓦兰吉人的
sinological	汉学
percurrent	到顶
lugger	小帆船
epicotyledonary	子叶上的
inhomogenous	非齐次的
wont	常常
pesterous	纠缠不休
rac	Club
xanthippe	粘西比
sulphonamide	硫胺类药剂
spicily	痛快地
heptastich	七行诗
elemi	榄香
superterrestrial	世外
vulcanism	岩石火成论者
unqualified	绝对
refer	谈及
eyeleteer	打眼锥
asteroid	星状
doctrinist	主义的信奉者
cubic	立方体
triaxial	三维的
origin	原点
unreconstructible	不能重建
yiddish	依地语
vacationer	休假者
orange	橙色
cad	无赖
enwreathe	绕以花圈
colonnaded	有柱廊
bespoken	预订
sickly	多病的
quirkish	双关语的
teratocarcinoma	畸胎癌
triform	在种不同形式合成的
ravine	沟壑
unveil	除去……的面纱
osee	=Hosea
sendmail	发送邮件
picescent	乌黑
safflower	红花染料
vasoinhibitor	血管抑制药
sanctification	神圣化
elucidative	说明
prior	优先
unconfiding	不轻信别人的
various	不同
plena	plenum
undomesticated	不习惯家庭生活的
tectonite	构造岩
replacement	置换
outroad	出击
delusion	错觉
conceit	幻想
clime	气候
congregation	集会
banker	银行家
washed	洗过的
scilly	=Scilly
voluntary	志愿
upsweep	向上弯曲
garmenture	衣着
deify	神化
declarer	宣言者
rawheel	未经艰苦考验的稚嫩新手
tenia	软组织带
consequently	从而
discompose	不安
zealotic	热心的
teazle	起绒草的干果球
tusker	有长牙的动物
setup	机构
artless	朴实
lot	一堆
dumpage	垃圾
misaligned	线向不正的
foxed	有褐斑
topically	总论
drowning	溺死
ingrained	根深蒂固
exes	费用
fallol	矫饰
lebanese	黎巴嫩
poetic	诗歌
sandal	凉鞋
underproof	不合格
overweighted	超载
looby	傻的人
artless	朴实的
moonish	如月的
linenfold	折布式
sandy	含沙
idoneous	适用的
nonneoplastic	非肿瘤引起
vain	虚荣
pert	and
fez	土耳其毡帽
unliquidated	未清算
electropositive	阳电
briskness	敏捷
smuttiness	淫秽
prepossessing	引人注意的
indeliberate	无心
aigrette	冠毛
mmm	嗯
significant	重大的
voluminously	很多
titanate	钛酸盐
hydremic	水血症的
ordinary	平凡
verus	确实
tarsia	嵌木细工
upstate	州的北部
immensely	庞大
mlw	water
unaffectionate	缺乏爱
unconditional	绝对的
turaco	=touraco
possession	占有
scalpriform	凿形
noctuid	夜蛾科的
refuse	废物
esol	of
ghazi	勇士
necessitarianism	必然论
cataphatic	用肯定方法所
elizabethan	伊丽莎白王朝的人
willowware	饰有垂柳图案的陶瓷餐具
capaneus	卡帕纽斯
malone	Malone
diadelphous	两体雄蕊的
appoggiatura	花音
autoecious	异苞同株
fathead	愚钝者
cucurbitaceous	葫芦科的
slabber	唾涎
trick	诀窍
electrodermal	皮电活动的
investiture	覆盖物
subservient	有用的
kook	傻瓜
papillate	乳突的
respective	分别的
poetize	作诗
grayer	灰色的
