curragh	小型手推货车的一种
neighborless	无邻居
misdone	misdo
squelcher	使对手哑口无言的辩论
syndicalism	工团主义
arthrodial	滑动关节
italiote'	NULL)
radialized	辐射状的
metropolitan	首都
underlaid	置于下面
flocculus	一丛柔毛
cologne	古龙香人
falsification	弄虚作假
pericardiac	围心的
filling	供应
guerdon	报酬
sanguification	血液生成
doddery	蹒跚
vegetal	动植物共通
emanative	发射性
pinstripe	细条纹的布料
meat	肉类
uniatism	东仪天主教
millcake	亚麻籽饼
shikotan	色丹岛
pleasurable	快乐
hydromedusan	水螅水母的
tunicate	有被膜
victoriously	获胜
trapeze	吊秋千
dentine	象牙质
unattended	没有同伴
ipsu	Setup
guan	冠雉
intendance	管理
tankie	=tanky
moccasin	鹿皮鞋
wisteria	柴藤
utilitarian	功利主义
tricksy	淘气的
thujaplicin	苧侧素
loverboy	情夫
tuberculate	结核性
skiwear	滑雪服装
antifederalism	反联邦制度
jew	犹太教徒
indigently	穷困
incog	用化名的微行者
metempsychosis	转生
bifid	两半
tendril	卷须
golly	发誓
retinoscope	视网膜镜
megarian	麦加拉学派
exchangeable	可替交的
batata	山芋
forebrain	壮年人发达的脑部
cornily	产谷地
hudson	美国
yird	人间
fattest	丰满
foucquet	Nicolas
ligature	绷带
trehalose	海藻糖
khotanese	和阗语
contour	等高线
carpetbagger	美国内战后利用南方不定局势谋利的人
lumber	砍伐木材
massless	无质量
seem	象是
transformation	改EnEl/
mascon	质量密集的物质
perfectness	完美
phenakite	=phenacite
mire	泥潭
bliny	的复数
flashily	瞬间地
analysable	可被分解的
ber	Rules
corresponding	相应
sodwork	草皮建筑物
morphosyntax	词素句法学
theater	手术教室
ncv	c
doctrine	学说
publish	发表
sidelight	舷灯
entomic	昆虫
preggers	怀胎的
bitartrate	酒石酸氢盐
joltily	摇动地
unnatural	不自然的
sulfate	硫酸盐
shunless	避不开
electrothermics	电热学
potatory	饮酒
naevi	痣
atrabilious	沉闷的
redislocation	复脱位
normanize	诺曼化
mortar	用灰泥结合
americana	史料
atavistic	隔代遗传
pack	挑选
objectivize	=objectify
constabulary	警官队
wheeled	用轮子行走的
recrudesce	复发
haematogenesis	生血
triangulate	有三角花样
plectognath	愈颌目鱼
socialism	社会主义
indigen	土著
gioconda	不可思议
rockbound	顽固
hideous	可怕的
muster	鼓起
yankeefied	美国化的
candlewood	蜡烛木
footling	无价值的
shrubby	灌木
mineralold	类矿物
korean	韩国人的
roi	Painters
immutability	不变
eurithermophile	适广温细菌(fIlIk/
thule	极北之地
symphonism	交响曲
shopworn	在商店中陈列旧了的
rebate	折扣
thornbush	多刺疏林
costive	沉默寡言
emigratory	移民
nachschlag	后倚音
crispen	使脆
waxy	生气的
fujiyama	富士山
ratchet	棘齿
ameristic	不分割的
spokewise	辐射状
pallidly	苍白无血色地
ble	Locomotive
reclama	申请复议
convolve	缠绕
grandfather	始祖
cuboid	三次方
cinematographic	电影
rapc	Army
advocacy	辩护术
confinement	禁闭
opencut	=opencast
heteronymous	同形异音异议词
