biedermeier	稳健
promotee	获晋级者
shag	蓬松
extemportize	演唱
clasp	搂抱
grandmother	祖母
pecksniff	式
televise	广播
tournure	腰垫
terebene	松节油精
useless	无用
effort	成就
blague	荒唐
dystrophication	海水污染
bestially	野兽
mimi	米米
epsom	英国
karaya	gum刺梧桐树胶
bung	桶等的塞子
raspy	易怒
pentaerythritol	季戊四醇
unstrained	不勉强
topically	时事问题地
eluate	洗出液
undissembled	真正
consign	托运
fetwa	判决
brash	仓促
barococo	过分纤巧
locky	成束的
geometric	几何的
rhodic	高价铑
coralliferous	含珊瑚的
abborrent	嫌恶的
semilunar	半月形
mughal	=Mogul
arundinaceous	芦苇
par	票面价值
fleshy	肉体的
trepan	诱入圈套
pgdn	翻下页
scilly	Isles
ceuca	African
parasitoid	拟寄生物
neglect	疏忽
unhand	将……放掉
tryptophane	色氨基酸
luciferous	光亮的
herbivorous	食草的
hyposensitive	弱敏
boustrophedon	右行左行交互书写的书法
back	前的钱
bricolage	利用手头东西制成的物品
bladdery	膀胱状
veracious	真实的
flitty	同性恋的
respect	考虑
fancy	奇特的
oaten	麦杆制
dicky	恶劣
mithraic	密特拉教
druid	德鲁伊教团员
jump	上涨
zigzag	弯弯曲曲
undertrick	宕墩
feverous	热病的
text	课本
tetrachloroethane	:rEJ`eWIli:
unplagued	未得灾祸的
depancreatize	切除胰脏
metapsychic	心灵学的
zenist	禅宗信徒
symbol	符号
scoundrel	无赖
computerizable	可以电脑处理的
extract	精
garrotte	绞刑
friability	脆弱
carnallite	砂金卤石
olive	奥利夫
cristate	有鸡冠状突起的
confound	把……搞混
smear	釉
telecurietherapy	=teletherapy
casbah	阿拉伯式之宫廷
dateable	可确定时代的
distinction	显赫
thingamabob	=thingumbob
quavery	震音的
latch	门插销
invocation	符咒
sociopath	不爱社交的人
cristobalite	方石英
impedimentary	妨碍的
alterative	变质剂
footstall	柱子的座坐或台座
disinteresting	索然无味
woody	多树木
myob	不关你的事
jeopardousness	冒险
cantiga	民歌
defeatism	失败主义
equivalent	相等
demophobic	群众恐惧症的
throughway	快速道路
eventually	终于
devilishly	厉害地
remove	班级
walk	走
dicephalous	双头的
pococurantism	不热心
assertory	确定的
medullary	髓质的
accordionist	手风琴师
kidd	基德
subjacent	在下方的
vacuum	产生真空
hypophyseal	=hypophysial
incoherently	无条理地
fijian	斐济人的
stomatitis	口腔炎
identic	措词相同
vivax	疟原虫
lapactic	促泻剂
panglossian	认为一切都趋于至善的
studhorse	种马
supervoltage	超高压
agog	热切地
pinda	花生果
strickle	磨快
photoelasticity	光测弹性学
panmixis	随机交配群体
place	住所
unsuccess	失败
ringsider	在近处观看者
evidential	可作证据的
emanative	发射性的
waste	多余
vindicative	辩明
modeling	建模
seafaring	水手工作的
coliform	大肠菌
restoration	恢复
podium	乐队指挥台
pantie	s:
enunciative	宣言的
pigeonhole	分类架
coi	Office
whisper	低声说
trapezia	梯形
irrigate	灌溉
excentral	中心以外
revulsant	引起诱导的
impenetrability	深奥
atomix	本软件的开发组织
invincible	无敌的
futhorc	北欧古字母表
sandwort	鹅不食
extortionate	昂贵的
tricorne	三角的
attainment	达到
bucketsort'	NULL)
