before	在……之前
jazz	奏爵士乐
inbreed	生产
fixing	稳固
bellboy	侍者
vasostimulant	刺激血管的
meaning	意味深长的
spado	无生育能力的人
bharat	=India
breasthook	尖蹼板
compulsionist	主张采取强迫手段的人
inappetency	食欲不振
tenner	十磅纸币
marvel	奇迹
phalera	金属圆牌
fiduciary	受信托
medical	内科的
submetallic	亚金属的
vellum	犊皮纸的
cyclone	暴风
jackpudding	丑角
cracky	多裂缝的
discountenance	阻止
wearisome	使疲倦的
inobtrusive	不冒失
undercooked	得火候不足的
quick	快的
decree	天命
antennate	具触角
unnecessary	不必要的
monochroic	单色的
falanga	打脚板刑罚
shuttle	梭子
omnific	有无限创造力
crown	花冠
homoeothermic	温血
narcissist	自我陶醉者
overdid	overdo的过去式
razor	剃刀
corticole	生于树皮上
nectared	甘美的
townee	本市人
dentary	牙齿的
xylophonist	木琴演奏家
maintain	维持
caravaggiesque	卡拉瓦乔作品
longeron	纵梁
ignobly	卑贱地
mucopurulent	黏脓性的
experientialism	Ik9spIErI`enFElIzEm/
backfall	将对方压制倒地背着垫子以取胜的手法
borak	挖苦
parasitical	食客
aperitive	有轻泻效应的
credence	信任
senior	资格较老
midas	迈达斯
acidproof	耐酸
agamic	无性的
angelino	洛杉矶人
zygospore	接合子
trotty	活泼
neronian	尼禄
tankman	坦克兵
aerobiologic	大气生物学
morbidly	病态
direct	径直的
intelsat	Telecommunications
dexter	幸运的
cautious	小心的
extorsively	勒索地
unsized	不依一定尺寸制造
ismaelian	=Ismailian
cryology	冷藏学
yawnful	无聊的使人打哈欠的
fastish	有些放荡
unhcr	Refugees
epidermoid	像表皮
impulsively	有推动力
untense	放松
cockleshell	海扇壳
foreigner	外国人
muzzy	头脑发昏的
dumpishness	迟钝
upstretched	向上伸出
ordinal	序数
quandary	窘境
iktas	所有物:目前我们所需要的东西全有了
hotly	激烈
deductible	可扣除的
volitant	能飞的
cacodyl	二甲砷基
visitor	来宾
digitalose	毛地黄糖
unformat	恢复被意外格式化的磁盘
vtc	Compression
barefaced	公然的
diaphanous	精致
meddler	爱管闲事的人
loamless	缺乏沃土的
distasteful	不愉快的
cornichon	醋渍小黄瓜
urinal	小便池
armenian	亚美尼亚
nuciform	核子状
steamship	汽船
steeper	浸润器
idioplasm	种质
codiscoverer	共同发现者
inequiaxial	不等轴
helicopter	直升机
labret	嘴唇装饰品
fuddle	使迷糊
substantialism	本体论
pycnogonid	皆足虫
deforciant	非法占有者
anoint	涂以油或软膏
inwall	用墙围住
shellheap	=kitchen
avirulent	无毒力的
glycogenase	肝淀粉酵素
trimming	清理焊缝
ease	减弱
glary	光辉的
pretty	优美
intracutaneous	皮内
dewindtite	磷铅铀矿
dexiotropous	向右的
depletory	使空虚的
vermiculite	蛭石
lean	歉收的
embalm	涂香油于
corbel	承材
arhythmical	无节奏的
deterrable	可制止
hogwild	疯狂的
peppergrass	胡椒草
terrify	恐吓
lha	High
ultrastructure	超微结构
gymnosophist	天体主义者
panzer	装甲
horehound	带有苦味的糖果
sutural	缝口的
diglottic	=diglot
taking	可爱的
blanky	比blankety
faucial	咽喉的
chink	中国佬
approximatively	接近
ceroplastic	蜡塑
photoionization	光致电离
hii	Health
diaspore	水铝石
irradiation	放射
ironsmith	铁匠
quadricentennial	400周年纪念的
transplanter	移植者
