waterfront	滨水地区
lumpenprole	流氓无产者
disperse	散开
disperse	疏散
tsuris	=tsouris
tyche	堤喀
car	汽车
car	小汽车
car	车辆
car	客车
car	车厢
headpin	头号木柱
hypotactic	从属关系的
hypotactic	从属关系
hypotactic	主从结构的
hypotactic	主从结构
saluretic	促尿食盐排泄的
saluretic	促尿食盐排泄
overgrowth	繁茂
overgrowth	生长过度
cb	民用波段
dedal	巧妙的
dedal	巧妙
dedal	精巧的
dedal	精巧
cocainist	有可卡因瘾者
cocainist	可卡因慢性中毒者
intertie	联锁电力网
secant	切的
secant	切
secant	割的
secant	割
secant	交叉的
secant	交叉
secant	割线
secant	正切
hypotonic	张力减退的
hypotonic	张力减退
hypotonic	低渗的
hypotonic	低渗
myograph	肌动描记器
crazily	疯子似地
crazily	疯子似
crazily	摇摇晃晃地
crazily	摇摇晃晃
crazily	发狂地
crazily	发狂
latifundist	大庄园主
latifundist	大领地主
affably	殷勤地
affably	殷勤
westie	=West
westie	Highland
westie	white
westie	terrier
florentine	佛罗伦萨人
florentine	绫的一种
florentine	意大利佛罗伦萨的
florentine	意大利佛罗伦萨
florentine	佛罗伦萨画派的
florentine	佛罗伦萨画派
kohoutek	科胡特克彗星
unsavoury	难吃的
unsavoury	难吃
unsavoury	令人讨厌的
unsavoury	令人讨厌
vibrogram	震动计记录
vibrogram	示振器记录
londonize	使具有伦敦的特点
londonize	使伦敦化
bankbook	银行存折
jetfoil	喷流水翼船
propsman	道具员
dehumidification	除去湿气
dewily	似露的
dewily	似露
dewily	露状的
dewily	露状
cornstarch	玉米淀粉
folliculosis	毛囊病
folliculosis	滤胞增殖过度
epoch	新纪元
epoch	时代
epoch	时期
epoch	时间上的一点
epoch	世
energumen	被恶魔附者
energumen	狂热者
cloaca	下水道
cloaca	阴沟
cloaca	泄殖腔
demode	不合时的
demode	不合时
demode	陈旧的
demode	陈旧
aib	Associate
aib	of
aib	the
aib	Institute
aib	of
aib	Bankers银行家学会准会员
fetiferous	产子的
fetiferous	产子
cerebellar	小脑的
cerebellar	小脑
terrarium	陆地动物饲养所
terrarium	玻璃容器
cigala	蝉
tablespoon	大汤匙
jedda	=Jidda
etwee	小匣
etwee	小箱
bordure	盾形纹章的边缘
feverishly	兴奋地
feverishly	兴奋
bigalopolis	大都市
emoticons'	NULL)
fadayeen	=fedayee
rhodanize	对……镀铑
chitterlings	猪肠
capsulitis	囊炎
capsulitis	被膜炎
capsulitis	晶状体炎
sin	正弦函数
phenotype	显型
paned	用杂色小布片拼做的
paned	用杂色小布片拼做
objurgate	申斥
objurgate	非难
staphylococcic	由葡萄球菌引起的
staphylococcic	由葡萄球菌引起
arthroscopy	关节镜检查
candelabra	枝状大烛台
playful	好玩的
playful	好玩
playful	嬉戏的
playful	嬉戏
playful	十分有趣的
playful	十分有趣
playful	顽皮的
playful	顽皮
tumbling	摔跤
tumbling	翻跟头
tumbling	翻筋斗
tumbling	歪斜状的
tumbling	歪斜状
ourselves	pro
ourselves	我们自己
blindfish	盲鱼
processive	前进的
processive	前进
processive	进行的
processive	进行
processive	向前的
processive	向前
labialize	使唇音化
labialize	用唇发音
shinguard	护胫
forspent	疲倦极了的
forspent	疲倦极了
narrowcasting	窄带广播
threnodist	挽歌作者
threnodist	唱哀歌者
ergo	因此
ergo	由是
mutineer	叛徒
mutineer	反抗者
tappoon	渠道闸板
tappoon	渠道挡板
reenforce	援助
reenforce	增强
plagiary	剽窃
plagiary	文抄公
intractable	难处理的
intractable	难处理
lavement	灌洗
lignivorous	吃树的
lignivorous	吃树
lignivorous	以树为食的
lignivorous	以树为食
nide	窝、巢
sarong	马来群岛土人所穿的围裙
sarong	布裙
taroc	=tarok
gapeworm	呵欠虫
encumbrance	阻碍
encumbrance	累赘
encumbrance	妨害物
nsc	National
nsc	Security
nsc	Council
caroche	十六
caroche	七世纪之一种豪华马车
chondrite	球粒状陨石
blameworthy	该受责备的
blameworthy	该受责备
blameworthy	应受谴责的
blameworthy	应受谴责
undefinable	=indefinable
siffleur	吹哨手
sorriness	悲哀
gothicize	使成为哥特式
gothicize	使具有哥特风格
gothicize	使外表具中世纪特征
recircle	再盘旋
mona	莫娜
netscape	美国Netscape公司
netscape	以开发Internet浏览器闻名
aoc	Air
aoc	Officer
aoc	Commanding
aoc	航空部队指挥官
boyd	博伊德
clootie	偶蹄
clootie	魔鬼
underarmed	武装不够的
underarmed	武装不够
underarmed	武器不足的
underarmed	武器不足
magus	魔术家
magus	占星家
journaling'	NULL)
hengest	即Hengist
investigator	调查人
verbalism	言辞
verbalism	措辞
verbalism	咬文嚼字
verbalism	套话
slop	溢出
slop	溅溢
granary	壳仓
hakodate	函馆
continuant	连续音的
continuant	连续音
continuant	连续音
countersink	钻孔装埋
countersink	打埋头孔
countersink	埋头孔
countersink	暗钉眼
scrupulous	小心谨慎的
scrupulous	小心谨慎
scrupulous	细心的
scrupulous	细心
skinnerian	理论的
skinnerian	理论
litigation	诉讼
litigation	起诉
avicolous	栖鸟体的
avicolous	栖鸟体
docete	幻影说者
huckle	髋部
citrin	维生素Ｐ
citrin	柠檬素
perhydrogenate	使全氢化
grandmamma	奶奶
grandmamma	外婆
clownade	小丑的噱头
grabber	强夺者
grabber	强取者
taxogen	主链物
defilade	遮蔽
defilade	遮蔽
chromatographer	色析法
chromatographer	层离法
cortes	议会
cortes	国会
vena	静脉
multipacket	多体货船
dawg	狗
cataphonic	回音学的
cataphonic	回音学
superexcellence	卓越
superexcellence	极好
superexcellence	绝佳
usda	United
usda	States
usda	Department
usda	of
usda	Agriculture
usda	美国农业部
disfranchise	剥夺公民权
disfranchise	剥夺推举议员权
disfranchise	剥夺权利
valeta	=veleta
mannikin	矮人
mannikin	侏儒
phlegmon	蜂窝织炎
gallous	亚镓的
gallous	亚镓
gallous	二价镓的
gallous	二价镓
democratise	=democratize
cyclicity	循环性
cyclicity	周期性
niggling	过于琐碎的工作
niggling	麻烦事
niggling	为琐事操心的
niggling	为琐事操心
canaster	一种须使用两副扑克牌进行的扑克游戏
canaster	南美产的一种粗制烟草
ordeal	严酷的考验
ordeal	痛苦的经验
ordeal	折磨
mediae	media的复数
announcer	广播员
announcer	告知者
announcer	报幕员
hadji	到麦加朝圣过的伊斯兰教徒
unfillable	装不满的
unfillable	装不满
unfillable	无法满足的
unfillable	无法满足
skivvy	女佣人
skivvy	女仆
skivvy	内衣
flagrancy	极恶昭彰
flagrancy	臭名远扬
flagrancy	名目张胆
ahriman	恶灵
ahriman	恶神
antigua	安提瓜岛
juration	宣誓
juration	监誓
unisonant	一致的
unisonant	一致
unisonant	同音的
unisonant	同音
unisonant	同调的
unisonant	同调
unisonant	同律的
unisonant	同律
murderess	女杀手
murderess	女凶犯
hackney	乘用马
hackney	出租马车
hackney	操贱役的人
ambrosian	适用于神的
ambrosian	适用于神
ambrosian	美味的
ambrosian	美味
deflex	使向下弯曲
anthropopathy	神与人同感论
tnb	trinitrobenzene
logically	论理上
logically	逻辑上
fannings	碎茶
fannings	茶叶末
normanise	=Normanize
doctor	医生
doctor	博士
doctor	学者
doctor	治疗
doctor	搀混
doctor	修改
doctor	行医
sinuation	曲折
northeastwards	向东北地
northeastwards	向东北
depredatory	劫掠的
depredatory	劫掠
depredatory	蹂躏的
depredatory	蹂躏
depredatory	破坏的
depredatory	破坏
dionysus	狄俄尼索斯
supraprotest	参助承兑
supraprotest	参加付款
gevalt	嗳呀
gevalt	哎唷
gevalt	天哪
botticellian	具有波堤切利作品特点和风格的
botticellian	具有波堤切利作品特点和风格
coproduct	副产物
radiologist	放射线学者
popsicle	冰棒
deridingly	嘲笑地
deridingly	嘲笑
trachoma	沙眼
trachoma	颗粒性结膜炎
linctus	润喉止咳糖浆
barret	无边帽
enmesh	使绊住
enmesh	使陷入
op	工作
op	操作
op	Op
op	乐曲
cisterna	池
cisterna	内胞浆网槽
rsfsr	Russian
rsfsr	Soviet
rsfsr	Federated
rsfsr	Socialist
rsfsr	Republic
manwise	人一般地
manwise	人一般
manwise	像人一样地
manwise	像人一样
courtezan	高级妓女
timbering	木材
timbering	建筑用材
timbering	木材桁构
jungli	丛林中的居民
abusively	咒骂地
abusively	咒骂
abusively	滥用地
abusively	滥用
gadite	迦得的后裔
gadite	迦得族人
unvarying	不变的
unvarying	不变
unvarying	经常的
unvarying	经常
unvarying	恒久的
unvarying	恒久
nance	娘娘腔的男人
nance	男同性恋者
epithelioma	上皮瘤
epithelioma	上皮癌
faucal	咽门的
faucal	咽门
faucal	音喉软颚的
faucal	音喉软颚
faucal	咽喉软颚音
marimba	木琴
hydrazoate	叠氮化物
gamblesome	喜欢赌博的
gamblesome	喜欢赌博
gamblesome	喜欢投机的
gamblesome	喜欢投机
affectless	缺乏感情的
affectless	缺乏感情
affectless	冷酷无情的
affectless	冷酷无情
collotype	珂罗版
ail	折磨
ail	使疼痛
ail	使烦恼
huggery	争夺案件
undesignedly	无意地
undesignedly	无意
singsong	歌舞会
nicely	精细地
nicely	精细
gourmandism	美食主义
gourmandism	讲究吃
shrinkingly	畏缩地
shrinkingly	畏缩
shrinkingly	踌躇地
shrinkingly	踌躇
regularly	有规律地
regularly	有规律
regularly	有规则地
regularly	有规则
regularly	整齐地
regularly	整齐
regularly	匀称地
regularly	匀称
assur	=Ashur
dividually	分开地
dividually	分开
dividually	分享地
dividually	分享
dividually	可分割地
dividually	可分割
punchy	强力的
punchy	强力
punchy	因受拳击而脑部昏沉的
punchy	因受拳击而脑部昏沉
mig	米格式战斗机
diapophysis	椎骨横突关节
swordstick	内藏刀剑的棍杖
sensualize	使变成好色
sensualize	使耽溺于肉欲
hsus	Humane
hsus	Society
hsus	of
hsus	United
hsus	States
hsus	美国仁慈协会
anesthetization	麻醉
anesthetization	麻痹
contestation	论争
contestation	主张
xr	ex
xr	rights
xr	无权认购新股
cariban	加勒比人的
cariban	加勒比人
cariban	加勒比语的
cariban	加勒比语
argive	阿哥斯人
argive	希腊人
untraversed	人迹罕至的
untraversed	人迹罕至
trophology	营养学
coaxal	共轴的
coaxal	共轴
obsidian	黑曜石
obsidian	十胜石
gladder	glad
gladder	的比较级
pentatomic	五原子的
pentatomic	五原子
pentatomic	五元的
pentatomic	五元
batumi	巴统
nominally	有名无实地
nominally	有名无实
nominally	名义上地
nominally	名义上
olga	奥尔加
jordanian	约旦的
jordanian	约旦
jordanian	约旦
yanomama	雅诺马马人
dilapidated	毁坏的
dilapidated	毁坏
dilapidated	要塌似的
dilapidated	要塌似
dilapidated	荒废的
dilapidated	荒废
photogrammetric	摄影测量的
photogrammetric	摄影测量
photogrammetric	摄影测绘的
photogrammetric	摄影测绘
photogrammetric	摄影制图的
photogrammetric	摄影制图
grosgrain	罗缎
leatherboard	仿皮革纸板
chukar	一种鹌鹑欧石鸡
filaria	丝状虫
filaria	丝虫属
rhabdom	感杆束
ectomorph	外胚层体型者
bnfl	British
bnfl	Nuclear
bnfl	Fuels
bnfl	Limited
bnfl	英国核燃烧公司
boko	鼻子
devocalize	使变为无声
deflocculate	抗絮凝
bookwork	根据书籍的研究
bookwork	书本之印刷
mumblingly	作
mumblingly	mumble
mumblingly	之状地
mumblingly	之状
outclass	比……高一等
outclass	大大超过
feet	脚
feet	英尺
feet	韵脚
partaker	参与者
ruralist	田园生活者
baps	British
baps	Association
baps	of
baps	Plastic
baps	Surgeons
baps	英国整形外科医师协会
foss	=fosse
nilgau	=nilgai
replenish	补充
cckw	counterclockwise
pancreozymin	肠促胰酶素
paraclete	辩护者
paraclete	圣灵
suisse	=Switzerland
bouzoukia	bouzouki的复数
exercise	练习
exercise	习题
exercise	训练
exercise	锻炼
exercise	演习
exercise	训练
exercise	锻炼
exercise	行使
exercise	使担扰
dorado	剑鱼
dorado	旗鱼
museology	博物馆学
cedi	塞地
cedi	塞
understructure	基础
understructure	下层结构
bound	跃进
bound	跳
bound	范围
bound	限度
bound	正要启程的
bound	正要启程
bound	开往……去的
bound	开往……去
bound	被束缚的
bound	被束缚
bound	装订的
bound	装订
bound	跳跃
bound	限制
xylene	二甲苯
extraphysical	不受物理定律支配的
extraphysical	不受物理定律支配
rhodope	罗多彼山脉
nightclub	夜总会
dalmatia	达尔马提亚
redeny	再次否认
redeny	再次拒绝接受
paty	=patte
haplobiont	单型世代植物
haplobiont	单倍体植株
conjoint	相连的
conjoint	相连
conjoint	结合的
conjoint	结合
reopen	重开
reopen	再开始
pacifism	和平主义
anthelion	幻日
goldbeater	金箔匠
downsize	以较小尺寸设计的外部尺寸
because	因为
landocrat	地主
laryngophone	喉头送话器
entourage	周围
entourage	环境
entourage	随从
florescent	开花的
florescent	开花
florescent	花盛开的
florescent	花盛开
edmond	埃德蒙
clinker	炼成渣
rickettsialpox	立克次氏体痘
anaplasty	整形术
criminalistics	刑事学
preinduction	征召入伍前的
preinduction	征召入伍前
morphonology	形态音位学
morphonology	词素音位学
bridesman	男傧相
backwash	浪涛
backwash	逆流
backwash	反响
amoretto	小爱神
colloblast	粘细胞
gronk	停止工作
trichromat	三色视者
trichromat	正常色觉者
joyance	喜悦
parastatal	半国营的
parastatal	半国营
parastatal	半国营集团
ahithophel	亚希多弗
hellenic	希腊的
hellenic	希腊
hellenic	希腊人的
hellenic	希腊人
hellenic	希腊语的
hellenic	希腊语
telotaxis	趋激性
telotaxis	趋触性
trachyspermous	糙种的
trachyspermous	糙种
wolfhound	猎狼犬
palynomorph	孢粉型
shotfire	放炮
shotfire	爆破
immodestly	不慎地
immodestly	不慎
immodestly	不客气地
immodestly	不客气
immodestly	不谦虚的
immodestly	不谦虚
immodestly	不端庄地
immodestly	不端庄
multiattribute	多属性
monophagous	单食性的
monophagous	单食性
monophagous	单主寄生的
monophagous	单主寄生
predicate	谓词
predicate	断言
lacertilian	蜥蜴类的
lacertilian	蜥蜴类
unflappably	不慌张地
unflappably	不慌张
unflappably	镇静地
unflappably	镇静
homogenesis	纯一发生
buckjump	腾跃
midship	船体中央部
midship	船体中央的
midship	船体中央
greenlining	反击拒贷
zygocactus	蟹爪兰
rtt	radioteletype
ornithology	鸟类学
ornithology	鸟学论文
owes	亏欠
owes	负债
owes	感恩
rifler	强盗
taciturnity	沉默寡言
save	解救
save	保存
save	保全
save	保留
save	节省
save	储蓄
save	挽救
save	节省
save	救球
save	除……之外
save	救球
save	/
save	保存/更新
diacidic	二元的
diacidic	二元
keratectasia	角膜膨胀
latitudinal	纬度的
latitudinal	纬度
latitudinal	纬度方向的
latitudinal	纬度方向
inestimably	难以计算地
inestimably	难以计算
inestimably	无法估计地
inestimably	无法估计
inestimably	极宝贵地
inestimably	极宝贵
hasp	搭扣
hasp	把铁扣扣上
actinomycete	放射菌类
mechanotheropy	力学疗法
compander	压缩扩展器
colgate	高露洁
agronomics	农业经济学
kincob	金考布锦
kaszube	=Kashub
sleepiness	想睡
jurisdictional	司法的
jurisdictional	司法
jurisdictional	司法权的
jurisdictional	司法权
jurisdictional	审判权的
jurisdictional	审判权
jurisdictional	管辖权的
jurisdictional	管辖权
semanticist	语义学者
esdi	加强的小型设备接口
squattocracy	有财有势的牧场主
latitudinous	纬度的
latitudinous	纬度
latitudinous	开阔的
latitudinous	开阔
latitudinous	不偏狭的
latitudinous	不偏狭
isotope	同位素
tsarevitch	=czarevitch
septicopyemia	=septicopyaemia
conductor	领导者
conductor	经理
conductor	指挥管弦乐队、合唱队的
conductor	指挥管弦乐队、合唱队
conductor	售票员
conductor	列车长
tyrosinosis	酪氨酸代谢症
ichnology	化石足迹学
andesine	中长石
nitrosoguanidine	亚硝基胍
crikey	唉呀!
sportively	嬉戏地
sportively	嬉戏
sportively	闹着玩地
sportively	闹着玩
vertically	垂直地
vertically	垂直
infanticide	杀婴
infanticide	杀婴者
dulcification	使愉快
dulcification	甜美化
unnurtured	未培育的
unnurtured	未培育
unnurtured	粗野的
unnurtured	粗野
sulu	苏禄裙
comoran	科摩罗的
comoran	科摩罗
urologic	泌尿科学的
urologic	泌尿科学
urologic	泌尿道的
urologic	泌尿道
curer	治疗者
curer	治疗器
tideland	潮浸区
tideland	潮间地
tideland	潮间
rubberneck	的人
rubberneck	观光客
rubberneck	好奇者
checkpost	边防检查站
checkpost	公路检查站
neonatologist	新生儿
camphorate	加入樟脑
camphorate	使和樟脑化合
carriage	马车
carriage	客车
carriage	运费
carriage	姿态
carriage	车架
bradyseism	地壳的缓慢升降运动
monarchy	君主政体
monarchy	君主政治
monarchy	君主国
nummulite	货币虫
nantucketer	楠塔基特岛人
lobotomy	前脑叶白质切除术
pelasgic	贝拉斯基族人
pelasgic	贝拉斯基族的
pelasgic	贝拉斯基族
rumba	伦巴舞
rumba	跳伦巴舞
lentiscus	乳香树
hieromonach	圣职修道士
basil	罗勒
basil	罗勒属植物
basil	Basil
basil	巴兹尔
scarifier	松土用农耕器具
scarifier	路面破坏机
trophozoite	营养子
trophozoite	滋养子
trophozoite	营养体
battleground	战场
retinopathy	视网膜病
mischief	伤害
mischief	危害
mischief	故障
mischief	恶作剧
mischief	淘气
mischief	调皮的人
mischief	损害
bastard	私生子
vituperate	谩骂
vituperate	责骂
verruga	疣症
euromarket	欧洲共同市场
avow	承认
estrum	动情期
estrum	动情周期
mneme	记忆力
mneme	记忆基质
crystalize	=crystallize
hepatocirrhosis	肝硬化
newcomer	新来者
newcomer	新到的移民
criminology	犯罪学
criminology	刑事学
subtracter	减法器
committee	委员会
calculative	计算的
calculative	计算
calculative	精于计算的
calculative	精于计算
calculative	精明的
calculative	精明
allowable	允许的
allowable	允许
allowable	正当的
allowable	正当
allowable	可承认的
allowable	可承认
multipolar	多极的
multipolar	多极
beebee	=BB
cyclamen	樱草属植物
paganize	异教化
slangy	俚语的
slangy	俚语
slangy	好用俚语的
slangy	好用俚语
sumac	漆树
transjordan	外约旦
doric	多利安式
doric	多利安式
maggot	空想
maggot	蛆
sacrist	教堂圣器收藏室的管理人
sacrist	教堂的看守人
asarum	细辛
tinning	镀锡
tinning	罐头包装法
pass	经过
pass	关口
pass	途径
pass	护照
pass	通行证
pass	入场券
pass	传球
pass	及格
pass	通过
pass	审查通过
pass	忽略
pass	传递
pass	经过
pass	变化
pass	流通
pass	宣判
pass	被忽略
pass	终止
pass	传递
pass	不叫牌
certifiable	可保证的
certifiable	可保证
certifiable	可证明的
certifiable	可证明
certifiable	可确认的
certifiable	可确认
septostomy	房隔造口术
daphne	达芙妮
daphne	瑞香
sunless	阳光照射不到的
sunless	阳光照射不到
sunless	阴暗的
sunless	阴暗
piazza	广场
piazza	走廊
piazza	露天市场
haematocele	囊内积血
haematocele	阴囊血肿
marlberry	圆锥紫金牛
epispastic	发泡的
epispastic	发泡
epispastic	吸出的
epispastic	吸出
epispastic	起泡剂
epispastic	吸出药
narcissus	水仙
narcissus	水仙花
guickwar	=Gaekwar
secretive	秘密的
secretive	秘密
secretive	偷偷摸摸的
secretive	偷偷摸摸
secretive	分泌的
secretive	分泌
secretive	促进分沁的
secretive	促进分沁
sardar	=sirdar
lamella	薄片
lamella	薄层
lamella	薄片
lamella	菌褶
mutilate	毁伤
halve	二等分
halve	平分
halve	分享
halve	减半
computerisation	=computerization
ogrish	魔鬼似的
ogrish	魔鬼似
ogrish	恐怖的
ogrish	恐怖
deterge	使清洁
anadem	花冠
anadem	花环
streptothricin	链丝菌素
petechiate	有瘀点的
petechiate	有瘀点
petechiate	有瘀斑的
petechiate	有瘀斑
lifeman	先发制人者
lifeman	虚张声势者
demobilization	复员
continently	节制地
continently	节制
continently	柔和地
continently	柔和
biometry	寿命测定
dichromatic	二色的
dichromatic	二色
dichromatic	二色性的
dichromatic	二色性
dichromatic	二色视的
dichromatic	二色视
stepsister	异父姊妹
turtleneck	套领
turtleneck	套领毛衣
turtleneck	圆翻领的
turtleneck	圆翻领
ultracentrifugal	9QltrE`sentrIffjJ^El/
ultracentrifugal	砵U:dV/
ultracentrifugal	用超高速胄牡
ultracentrifugal	用超离心的离心器
wariness	谨慎
wariness	注意
wariness	小心
physiatrist	物理治疗医师
toots	亲密的人
tobago	多巴哥岛
aerobic	依靠氧气的
aerobic	依靠氧气
aerobic	与需氧菌有关的
aerobic	与需氧菌有关
aerobic	增氧健身法的
aerobic	增氧健身法
hydroairplane	水上飞机
complemented	有补助物的
complemented	有补助物
complemented	有余格的
complemented	有余格
hyperspace	超空间
hyperspace	多维空间
trite	陈腐的
trite	陈腐
capitulate	有条件投降
capitulate	认输
capitulate	屈服
capitulate	让步
capitulate	停止抵抗
birthmark	胎记
birthmark	胎痣
wainwright	制造运货马车
quadrantanopsia	象限盲
jeweller	珠宝商
jeweller	宝石匠
jeweller	钟表匠
aliment	食物
aliment	滋养品
powdered	弄成粉的
powdered	弄成粉
powdered	有许多小斑点的
powdered	有许多小斑点
oecology	生态学
oecology	社会生态学
acquittal	宣判无罪
envenom	毒害
penholder	笔插
penholder	笔架
conversazione	座谈会
alumna	女毕业生
alumna	女校友
winged	有翼的
winged	有翼
winged	迅速的
winged	迅速
winged	飞行的
winged	飞行
winged	翼受伤的
winged	翼受伤
bullwhack	牛鞭
rhizoplane	根面
reorientate	使重定向
mope	闷闷不乐
kazak	哈萨克人
deplume	剥去……的羽毛
deplume	拔……的羽毛
deplume	剥夺……的荣誉
anarch	无政府主义者
scroop	嘎嘎地响
scroop	嘎嘎的响声
significative	有意义的
significative	有意义
significative	指示的
significative	指示
magnetosheath	磁鞘
murder	谋杀
murder	凶杀
murder	谋杀
murder	凶杀
murder	谋杀
undine	水女神
undine	洗眼壶
desultoriness	散漫
mundu	芒杜
sandlot	沙地
sandlot	沙
sandlot	小孩们的运动用空地
sandlot	小孩们的运动用空
pastedown	环衬
melanogenesis	黑素生成
manta	女用披巾
manta	外套
bonanza	富矿带
bonanza	带来好运之事
bonanza	幸运
kinesics	人体动作学
kinesics	举止神态学
drivability	=driveability
nebulous	星云的
nebulous	星云
nebulous	云雾状的
nebulous	云雾状
nebulous	模糊的
nebulous	模糊
nebulous	朦胧的
nebulous	朦胧
ecumenic	一般的
ecumenic	一般
ecumenic	普通的
ecumenic	普通
foilsman	剑击家
ecophobia	惧家症
slat	板条
slat	狭板
slat	用板条做或装备
slat	打
slat	猛投
exploitation	开发
exploitation	开采
exploitation	剥削
exploitation	自私的利用
exploitation	宣传
exploitation	广告
mouldy	发霉的
mouldy	发霉
mouldy	腐朽的
mouldy	腐朽
mouldy	旧式的
mouldy	旧式
tamale	墨西哥烹调的一种
disastrous	损失惨重的
disastrous	损失惨重
disastrous	悲伤的
disastrous	悲伤
nationalist	国家主义者
nationalist	民族主义者
porpoise	海豚
porpoise	小鲸
bopeep	藏猫游戏
hackwork	粗劣文学作品
freehearted	坦白的
freehearted	坦白
freehearted	爽朗的
freehearted	爽朗
deborah	黛博拉
deborah	女子名
representative	代表
representative	典型的
representative	典型
representative	有代表性的
representative	有代表性
lazy	懒惰的
lazy	懒惰
lazy	懒散的
lazy	懒散
lactone	内酯
kedah	吉打州
ekahafnium	元素104的暂定名
ekahafnium	美铪
forewent	forego的过去式
desultor	马戏团中表演骑术者
waist	腰部
waist	腰
waist	衣服的上身部分
waist	背心
tetrahedral	有四面的
tetrahedral	有四面
tetrahedral	四面体的
tetrahedral	四面体
drench	湿透
polypi	息肉
kikumon	菊纹
pyrargyrite	硫锑银矿
pyrargyrite	深红银矿
fameuse	晚熟的苹果
esurience	贪心
esurience	贪婪
freshet	河水猛涨
freshet	涨水
freshet	洪水
deorientalization	非东方化
deorientalization	西方化
ophthalmotomy	眼球切开术
costumbrista	富有地方色彩的西班牙或拉丁美洲作家
costumbrista	富有地方色彩的
costumbrista	富有地方色彩
hydrodrill	根部浇注器
erythropoiesis	红血球生成
resuscitative	使复生的
resuscitative	使复生
resuscitative	使复兴的
resuscitative	使复兴
polymathy	博学
polymathy	博识
engaging	动人的
engaging	动人
engaging	有魅力的
engaging	有魅力
engaging	迷人的
engaging	迷人
qoran	=Koran
firebird	美洲产的色彩鲜艳的小鸟
reincarnation	再投胎
reincarnation	化身
reincarnation	再生
slacker	懒鬼
sunlamp	太阳灯
splenold	脾样的
splenold	脾样
prickspur	单尖踢马刺
notchback	客货两用车
utility	效用
utility	有用
langlaufer	越野滑雪者
breakbone	fever=dengue
crassulaceous	景天科的
crassulaceous	景天科
cattish	象猫的
cattish	象猫
cattish	阴险的
cattish	阴险
cattish	狡猾的
cattish	狡猾
conditioner	调节者
conditioner	调节装置
portcullis	铁闸门
portcullis	吊闸
portcullis	给……装吊闸
sion	锡安
sion	以色列人民
tactfully	机智地
tactfully	机智
tactfully	巧妙地
tactfully	巧妙
trollop	堕落的女人
trollop	妓女
reawaken	再度觉醒
periodontology	=periodontics
rekindle	重新点燃
macrocephalia	=macrocephaly
latine	用拉丁文写
latine	在拉丁语内
dissert	论述
dissert	讨论
dissert	写论文
dissert	作学术讲演
thoracotomy	胸廓切开术
radiolysis	射解
unexamining	不加考虑的
unexamining	不加考虑
apologetic	道歉的
apologetic	道歉
apologetic	认错的
apologetic	认错
apologetic	辩护的
apologetic	辩护
coddle	娇养
coddle	溺爱
coddle	煮蛋
coddle	娇生惯养的人
coddle	身体虚弱的人
reasonable	合理的
reasonable	合理
reasonable	有道理的
reasonable	有道理
reasonable	通情达理的
reasonable	通情达理
reasonable	讲道理的
reasonable	讲道理
theorize	建立理论
theorize	理论化
nyx	尼克斯
antianginal	防心绞痛的
antianginal	防心绞痛
antianginal	减轻心绞痛的
antianginal	减轻心绞痛
pretest	预备考试
pretest	预备调查
pretest	进行预备考试
ericoid	似欧石南属植物的
ericoid	似欧石南属植物
midtown	市中心区的
midtown	市中心区
midtown	位于市中心区的
midtown	位于市中心区
midtown	市中心区
synthetize	综合
synthetize	合成
fragrant	芬芳的
fragrant	芬芳
fragrant	香的
fragrant	香
consensual	交感的
consensual	交感
landed	拥有土地的
landed	拥有土
landed	有田地的
landed	有田
enterobactin	肠菌素
homeochromatic	颜色相似的
homeochromatic	颜色相似
lebanon	黎巴嫩
cenogenesis	新性发生
virose	有毒的
virose	有毒
virose	有毒性的
virose	有毒性
virose	有恶臭的
virose	有恶臭
thirteenth	第十三
thirteenth	十三分之一
undee	波形的
undee	波形
undee	波浪形的
undee	波浪形
chippy	花栗鼠
chippy	浪漫女子
chippy	碎片的
chippy	碎片
chippy	活跃的
chippy	活跃
sfumato	渲染层次
overexcite	使过于激动
overexcite	过度刺激
declassification	不再当机密文件处理
declassification	从机密表删除
informationless	无信息的
informationless	无信息
informationless	不传送信息的
informationless	不传送信息
blahs	厌烦
blahs	抑郁
blahs	不适
anole	变色龙
anole	避役
freeheartedly	坦白地
freeheartedly	坦白
freeheartedly	爽朗地
freeheartedly	爽朗
plume	羽毛
rwandan	=Rwandese
balletically	芭蕾舞一般地
balletically	芭蕾舞一般
gentlemanship	绅士的身分
laciness	花边
laciness	有花边
laciness	有边
laciness	花边壮
seismal	地震的
seismal	震
seismal	有关地震的
seismal	有关地震
nicknack	装饰用的小东西
nicknack	小玩具
scissorbird	=scissortail
penang	=pinang
nitrify	使与氮化合
nitrify	用氮饱和
nitrify	硝化
cantle	鞍尾
cantle	截剩的一片
theologist	神学家
squabby	胖胖的
squabby	胖胖
squabby	矮胖的
squabby	矮胖
blimy	=blimey
baudrons	猫
baudrons	猫姑娘
genupectoral	膝与胸部的
genupectoral	膝与胸部
periodicity	周期
nmr	nuclear
nmr	magnetic
nmr	resonance
nmr	核磁共振
vinblastine	长春碱
thane	大乡绅
thane	领主
darn	织补
judgmatical	周到的
judgmatical	周到
judgmatical	明智的
judgmatical	明智
headmost	最先的
headmost	最先
totalitarian	极权主义的
totalitarian	极权主义
totalitarian	极权主义者
generative	生成的
generative	生成
gimmickery	巧妙的装置
uvarovite	钙铬榴石
isolationism	一国的政治上或经济上的孤立主义
southern	南的
southern	南
southern	南方的
southern	南方
